agent_subtype	ancillary
#ancillaries_included_agent_subtypes_tables;0;db/ancillaries_included_agent_subtypes_tables/vco	
vco_wh_main_chs_archaon	vco_anc_arcane_item_vilitchs_locket
vco_wh_main_grn_grimgor_ironbound	vco_anc_enchanted_item_chains_of_binding
vco_wh_main_grn_grimgor_ironbound	vco_anc_talisman_mecha_arm
wh2_dlc10_hef_alarielle	vco_anc_weapon_wand_of_wych_elm
wh2_dlc13_lzd_nakai	vco_anc_weapon_sacred_mace_of_quetzl
wh2_twa04_bst_great_bray_shaman_beasts	vco_anc_enchanted_item_malagors_mask_of_heavens
wh2_twa04_bst_great_bray_shaman_death	vco_anc_enchanted_item_malagors_mask_of_heavens
wh2_twa04_bst_great_bray_shaman_shadows	vco_anc_enchanted_item_malagors_mask_of_heavens
wh2_twa04_bst_great_bray_shaman_wild	vco_anc_enchanted_item_malagors_mask_of_heavens
wh_dlc03_bst_bray_shaman_beasts	vco_anc_enchanted_item_malagors_mask_of_heavens
wh_dlc03_bst_bray_shaman_death	vco_anc_enchanted_item_malagors_mask_of_heavens
wh_dlc03_bst_bray_shaman_shadows	vco_anc_enchanted_item_malagors_mask_of_heavens
wh_dlc03_bst_bray_shaman_wild	vco_anc_enchanted_item_malagors_mask_of_heavens
wh_dlc03_bst_malagor	vco_anc_enchanted_item_malagors_mask_of_heavens
