ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/vco			
vco_anc_arcane_item_blood_rune_bracers	wh2_dlc12_effect_magic_cooldown_all_lores	character_to_character_own	-10.0000
vco_anc_arcane_item_blood_rune_bracers	wh3_main_effect_ability_enable_master_of_fates	character_to_character_own	1.0000
vco_anc_arcane_item_blood_rune_bracers	wh_main_effect_character_stat_magic_resistance	character_to_character_own	15.0000
vco_anc_arcane_item_blood_rune_bracers	wh_main_effect_character_stat_unit_health	character_to_character_own	10.0000
vco_anc_arcane_item_cube_of_darkness	wh2_main_effect_ability_cooldown_spells	character_to_character_own	-20.0000
vco_anc_arcane_item_cube_of_darkness	wh2_main_effect_ability_enable_cube_of_darkness	character_to_character_own	1.0000
vco_anc_arcane_item_cube_of_darkness	wh3_main_effect_ability_wom_cost_pct_tzeentch_spells	character_to_character_own	-10.0000
vco_anc_arcane_item_eye_of_the_deep	wh2_dlc11_effect_ability_enable_krakens_pull	character_to_character_own	1.0000
vco_anc_arcane_item_eye_of_the_deep	wh_main_effect_force_army_campaign_attrition_all_resistance	character_to_force_enemy_regionwide	50.0000
vco_anc_arcane_item_eye_of_the_deep	wh_main_effect_technology_research_points	character_to_faction_unseen	30.0000
vco_anc_arcane_item_golden_lamp	wh2_dlc16_effect_weakness_to_fire	character_to_force_enemy_regionwide	-40.0000
vco_anc_arcane_item_golden_lamp	wh_main_effect_ability_enable_flame_storm	character_to_character_own	1.0000
vco_anc_arcane_item_golden_lamp	wh_main_effect_ability_enable_flaming_sword_of_rhuin	character_to_character_own	1.0000
vco_anc_arcane_item_golden_lamp	wh_main_effect_ability_enable_kindleflame	character_to_character_own	1.0000
vco_anc_arcane_item_mirror_of_the_ice_queen	wh2_dlc14_effect_magic_cost_all_lores_percentage	character_to_character_own	-10.0000
vco_anc_arcane_item_mirror_of_the_ice_queen	wh3_main_effect_ability_enable_mirror_of_the_ice_queen	character_to_character_own	1.0000
vco_anc_arcane_item_mirror_of_the_ice_queen	wh3_main_effect_winds_of_magic_character	character_to_force_own_unseen	5.0000
vco_anc_arcane_item_mirror_of_the_ice_queen	wh_dlc08_effect_character_stat_enable_frostbite_attacks	character_to_character_own	1.0000
vco_anc_arcane_item_mirror_of_the_ice_queen	wh_main_effect_character_stat_leadership	character_to_character_own	5.0000
vco_anc_arcane_item_vilitchs_locket	wh2_dlc14_effect_magic_cost_all_lores_percentage	character_to_character_own	-10.0000
vco_anc_arcane_item_vilitchs_locket	wh_main_effect_agent_action_success_chance_enemy	character_to_character_own	-30.0000
vco_anc_arcane_item_vilitchs_locket	wh_main_effect_character_stat_miscast	character_to_character_own	-15.0000
vco_anc_arcane_item_vilitchs_locket	wh_main_effect_force_army_campaign_ambush_defence_success_chance	general_to_force_own	30.0000
vco_anc_arcane_item_warp_scroll	wh2_main_effect_ability_enable_the_liber_bubonicus	character_to_character_own	1.0000
vco_anc_arcane_item_warp_scroll	wh2_main_effect_plague_infectivity_mod_good	general_to_force_own	50.0000
vco_anc_arcane_item_warp_scroll	wh3_main_effect_upkeep_nur_plaguebearers	general_to_force_own	-20.0000
vco_anc_arcane_item_warp_scroll	wh_main_effect_public_order_characters_negative	character_to_enemy_province	-30.0000
vco_anc_arcane_item_yueyins_diamond	wh2_main_effect_attribute_enable_causes_terror_vs_chs	agent_to_parent_army_general_own	1.0000
vco_anc_arcane_item_yueyins_diamond	wh2_main_effect_force_stat_weapon_strength_vs_chaos_norsca	character_to_character_own	15.0000
vco_anc_arcane_item_yueyins_diamond	wh3_main_effect_corruption_reduction_characters	character_to_province_any	-25.0000
vco_anc_arcane_item_yueyins_diamond	wh3_main_effect_winds_of_magic_pooled_resource_change_positive_mod	character_to_force_own_unseen	18.0000
vco_anc_arcane_item_yueyins_diamond	wh_main_effect_character_stat_miscast	character_to_character_own	-20.0000
vco_anc_armour_blood-forged_armour	wh2_dlc15_effect_ability_enable_blood_forged_armour	character_to_character_own	1.0000
vco_anc_armour_blood-forged_armour	wh_main_effect_agent_action_success_chance_enemy	character_to_character_own	-10.0000
vco_anc_armour_blood-forged_armour	wh_main_effect_character_stat_armour	character_to_character_own	10.0000
vco_anc_armour_blood-forged_armour	wh_main_effect_character_stat_melee_defence	character_to_character_own	6.0000
vco_anc_armour_blood-forged_armour	wh_main_effect_character_stat_ward_save	character_to_character_own	15.0000
vco_anc_armour_blood-forged_armour	wh_main_effect_character_wound_recovery_time_mod	character_to_character_own	-1.0000
vco_anc_armour_dragonscale_cloak	wh3_main_effect_corruption_skaven_characters	character_to_province_any	10.0000
vco_anc_armour_dragonscale_cloak	wh_main_effect_ability_enable_metalshifting	character_to_character_own	1.0000
vco_anc_armour_dragonscale_cloak	wh_main_effect_character_stat_fire_resistance	character_to_character_own	20.0000
vco_anc_armour_dragonscale_cloak	wh_main_effect_character_stat_ward_save	character_to_character_own	10.0000
vco_anc_armour_the_armour_of_morkar	wh3_dlc20_effect_ability_enable_the_armour_of_morkar	character_to_character_own	1.0000
vco_anc_armour_the_armour_of_morkar	wh_main_effect_agent_action_success_chance_enemy	character_to_character_own	-10.0000
vco_anc_armour_the_armour_of_morkar	wh_main_effect_character_stat_armour	character_to_character_own	12.0000
vco_anc_armour_the_armour_of_morkar	wh_main_effect_character_stat_melee_defence	character_to_character_own	6.0000
vco_anc_armour_the_armour_of_morkar	wh_main_effect_character_stat_ward_save	character_to_character_own	10.0000
vco_anc_armour_the_armour_of_morkar	wh_main_faction_political_diplomacy_mod	character_to_faction_unseen	10.0000
vco_anc_enchanted_black_hammer_hashut_grimgor	wh3_dlc23_effect_ability_enable_black_hammer_of_hashut	character_to_character_own	1.0000
vco_anc_enchanted_black_hammer_hashut_grimgor	wh3_dlc23_effect_force_stat_leadership_vs_chaos_dwarfs	character_to_force_own_alt_text	10.0000
vco_anc_enchanted_black_hammer_hashut_grimgor	wh_main_effect_character_stat_weapon_strength	character_to_character_own	15.0000
vco_anc_enchanted_black_hammer_hashut_grimgor	wh_main_effect_public_order_characters	character_to_province_own_factionwide	1.0000
vco_anc_enchanted_item_black_dragon_egg	wh2_main_effect_ability_enable_black_dragon_egg	character_to_character_own	1.0000
