type	ui_icon
#ancillary_types_tables;0;db/ancillary_types_tables/vco	
vco_anc_follower_belegars_head	ui/campaign ui/effect_bundles/vco_anc_follower_belegars_head.png
vco_anc_follower_crowfathers_wings	ui/campaign ui/effect_bundles/vco_anc_follower_crowfathers_wings.png
vco_anc_follower_dammaz_kron	ui/campaign ui/effect_bundles/vco_dammaz_kron.png
vco_anc_follower_damsels_ashes	ui/campaign ui/effect_bundles/vco_anc_follower_damsels_ashes.png
vco_anc_follower_dark_convent_defector	ui/campaign ui/effect_bundles/vco_anc_dark_convent_defector.png
vco_anc_follower_eye_of_rage	ui/campaign ui/effect_bundles/vco_anc_follower_eye_of_rage.png
vco_anc_follower_fozzrik_summoner	ui/campaign ui/effect_bundles/vco_ancillary_fozzrik_summoner.png
vco_anc_follower_golden_mawtooth	ui/campaign ui/effect_bundles/vco_golden_mawtooth.png
vco_anc_follower_graven_idol	ui/campaign ui/effect_bundles/vco_graven_idol.png
vco_anc_follower_grey_dwarf	ui/campaign ui/effect_bundles/vco_grey_dwarf.png
vco_anc_follower_haurg_frostmaw	ui/campaign ui/effect_bundles/vco_anc_follower_haurg_frostmaw.png
vco_anc_follower_ice_vampire	ui/campaign ui/effect_bundles/vco_anc_follower_ice_vampire.png
vco_anc_follower_jade_griffon	ui/campaign ui/effect_bundles/vco_anc_follower_jade_griffon.png
vco_anc_follower_kemmler_black_grail_knight	ui/campaign ui/effect_bundles/vco_kemmler_black_grail_knight.png
vco_anc_follower_lobotomised_warmbloods	ui/campaign ui/effect_bundles/vco_anc_follower_lobotomised_warmbloods.png
vco_anc_follower_minaithnirs_skull	ui/campaign ui/effect_bundles/vco_minaithnirs_skull.png
vco_anc_follower_naieth_the_prophetess	ui/campaign ui/effect_bundles/vco_anc_follower_naieth_the_prophetess.png
vco_anc_follower_priestess_of_isha	ui/campaign ui/effect_bundles/vco_anc_follower_priestess_of_isha.png
vco_anc_follower_ruby_lahmia	ui/campaign ui/effect_bundles/vco_ruby_lahmia.png
vco_anc_follower_settras_head	ui/campaign ui/effect_bundles/wh2_dlc09_item_passive_crown_of_nehekhara.png
vco_anc_follower_shadowblade	ui/campaign ui/effect_bundles/vco_anc_follower_shadowblade.png
vco_anc_follower_ska_bloodtail	ui/campaign ui/effect_bundles/vco_anc_follower_ska_bloodtail.png
vco_anc_follower_skarsniks_head	ui/campaign ui/effect_bundles/vco_anc_follower_skarsniks_head.png
vco_anc_follower_war_mourner	ui/campaign ui/effect_bundles/vco_follower_war_mourner.png
vco_anc_magic_standard_belegar_banner	ui/campaign ui/effect_bundles/vco_angrund_victory_banner.png
vco_anc_magic_standard_volkmar_banner	ui/campaign ui/effect_bundles/vco_volkmar_banner.png
