character_name	character_level	forename	magic_lore	num_men	surname	unit_type	agent_type	agent_subtype	portrait	character_model	skillset	male
#battle_set_piece_armies_characters_tables;8;db/battle_set_piece_armies_characters_tables/vco												
vco_alarielle_custom_battle_chaos_lord_on_dragon	35	1608359251		100	21473573650	wh_dlc01_chs_cha_chaos_lord_2	general	wh_main_chs_lord	ui/portraits/portholes/wh_main_chs_chaos/dae_kho_exalted_hero_campaign_01_0.png	140621047		true
vco_alarielle_custom_battle_daemon_prince_of_khorne	40	21473573648		100	21473573649	wh3_dlc20_chs_cha_daemon_prince_mkho	general	wh3_dlc20_chs_daemon_prince_khorne	ui/portraits/portholes/wh3_main_dae_daemons/dae_prince_0.png	2076232679		true
vco_enemy_eight_peaks_belegar	40	2147358029		100	2147344147	wh_dlc06_dwf_cha_belegar_ironhammer_0	general	wh_dlc06_dwf_belegar	ui/portraits/portholes/wh_main_dwf_dwarfs/dwf_ch_belegar_ironhammer_0.png	5213		true
vco_enemy_eight_peaks_dramar_hammerfist	1	2147359003		100	2147359010	wh_dlc06_dwf_cha_master_engineer_ghost_0	engineer	wh_dlc06_dwf_master_engineer_ghost	ui/portraits/portholes/no_culture/dwf_master_engineer_ghost_01_0.png	5479		true
vco_enemy_eight_peaks_halkenhaf_stonebeard	1	2147358982		100	2147358985	wh_dlc06_dwf_cha_thane_ghost_1	champion	wh_dlc06_dwf_thane_ghost_2	ui/portraits/portholes/no_culture/dwf_thane_ghost_02_0.png	5488		true
vco_enemy_eight_peaks_king_lunn_ironhammer	1	2147358979		100	2147358036	wh_dlc06_dwf_cha_thane_ghost_0	champion	wh_dlc06_dwf_thane_ghost_1	ui/portraits/portholes/no_culture/dwf_thane_ghost_01_0.png	5486		true
vco_enemy_eight_peaks_queek	40	2147359300		100	2147360908	wh2_main_skv_cha_queek_headtaker	general	wh2_main_skv_queek_headtaker	ui/portraits/portholes/wh2_main_skv_skaven/skv_queek_0.png	5558		true
vco_enemy_eight_peaks_skarsnik	40	2147358016		100	2147358913	wh_dlc06_grn_cha_skarsnik_0	general	wh_dlc06_grn_skarsnik	ui/portraits/portholes/wh_main_grn_greenskins/grn_ch_skarsnik_0.png	5235		true
vco_enemy_eight_peaks_throni_ironbrow	1	2147358988		100	2147358994	wh_dlc06_dwf_cha_runesmith_ghost_0	runesmith	wh_dlc06_dwf_runesmith_ghost	ui/portraits/portholes/no_culture/dwf_runesmith_ghost_01_0.png	5472		true
vco_karl_franz_custom_battle_zhao_ming	40	806936419	wh_main_lore_metal	100	2147358938	wh3_main_cth_cha_iron_dragon_0	general	wh3_main_cth_zhao_ming	ui/portraits/portholes/wh3_main_cth_cathay/cth_iron_dragon_human_0.png	1757776503		true
vco_throt_custom_battle_archaon	50	2147343903	wh_main_lore_fire	100	2147357364	wh_main_chs_cha_archaon_the_everchosen_1	general	wh_main_chs_archaon	ui/portraits/portholes/wh_main_chs_chaos/chs_ch_archaon_0.png	3431	wh_main_skill_node_set_chs_archaon	true
vco_throt_custom_battle_azazel	40	673785715	wh3_main_lore_slaanesh	100	2147358938	wh3_dlc20_sla_cha_azazel	general	wh3_dlc20_sla_azazel	ui/portraits/portholes/wh_main_chs_chaos/dae_azazel_0.png	1601352192		true
vco_throt_custom_battle_festus	40	521322027	wh3_main_lore_nurgle	100	2147358938	wh3_dlc20_nur_cha_festus	general	wh3_dlc20_nur_festus	ui/portraits/portholes/wh_main_chs_chaos/dae_festus_0.png	717149534		true
vco_throt_custom_battle_godslayer	40	21473573651		90	2147353329	wh3_main_dae_cha_daemon_prince_0	general	wh3_main_dae_daemon_prince	ui/portraits/portholes/wh3_main_dae_daemons/dae_prince_0.png	362647950		true
vco_throt_custom_battle_ograx	25	172218700		100	2147358938	wh_main_chs_cha_exalted_hero_0	champion	wh_main_chs_exalted_hero	UI\Portraits\Portholes\wh_main_chs_chaos\chs_exalted_hero_campaign_05_0.png	5051		true
vco_throt_custom_battle_sigvald	40	2147345922		90	2147357370	wh_dlc01_chs_cha_prince_sigvald_the_magnificent	general	wh_dlc01_chs_prince_sigvald	ui/portraits/portholes/wh_main_chs_chaos/chs_ch_sigvald_0.png	3932	wh_main_skill_node_set_chs_sigvald	true
vco_throt_custom_battle_valkia	40	62854889		100	2147358938	wh3_dlc20_kho_cha_valkia	general	wh3_dlc20_kho_valkia	ui/portraits/portholes/wh_main_chs_chaos/dae_valkia_0.png	2142344717		true
vco_throt_custom_battle_vilitch	1	1189063808		100	2147358938	wh3_dlc20_tze_cha_vilitch	general	wh3_dlc20_tze_vilitch	ui/portraits/portholes/wh_main_chs_chaos/dae_vilitch_0.png	1069582996		true
