army_name	battle_name
#battle_set_piece_armies_junctions_tables;0;db/battle_set_piece_armies_junctions_tables/vco	
vco_custom_quest_alarielle_hellebron_enemy_army_def_crones	vco_alarielle_battle_crones_folly
vco_custom_quest_alarielle_hellebron_enemy_army_kho_valkia	vco_alarielle_battle_crones_folly
vco_custom_quest_tretch_enemy_army_chd_chaos_dwarfs	vco_tretch_battle_warpstone_meteor
vco_custom_quest_tretch_enemy_army_vmp_lahmians	vco_tretch_battle_warpstone_meteor
wh2_dlc09_qb_tmb_tretch_craventail_lucky_skullhelm_stage_5_mushroom_cave_player	vco_tretch_battle_warpstone_meteor
wh2_dlc17_qb_bst_taurox_final_battle_enemy_01_morghur	vco_wh2_dlc17_qb_bst_final_battle_taurox
wh2_dlc17_qb_bst_taurox_final_battle_enemy_02_prisoners_01	vco_wh2_dlc17_qb_bst_final_battle_taurox
wh2_dlc17_qb_bst_taurox_final_battle_enemy_03_lizardmen	vco_wh2_dlc17_qb_bst_final_battle_taurox
wh2_dlc17_qb_bst_taurox_final_battle_enemy_04_oxyotl	vco_wh2_dlc17_qb_bst_final_battle_taurox
wh2_dlc17_qb_bst_taurox_final_battle_player	vco_wh2_dlc17_qb_bst_final_battle_taurox
wh2_dlc17_qb_lzd_taurox_final_battle_ally_01_great_bray_01	vco_wh2_dlc17_qb_bst_final_battle_taurox
wh2_dlc17_qb_lzd_taurox_final_battle_ally_02_great_bray_02	vco_wh2_dlc17_qb_bst_final_battle_taurox
