army_name	siege_item	amount
#battle_set_pieces_siege_items_tables;0;db/battle_set_pieces_siege_items_tables/vco		
vco_custom_quest_eight_peaks_enemy_belegar	dwf_battering_ram	1
vco_custom_quest_eight_peaks_enemy_belegar	dwf_siege_tower	2
vco_custom_quest_eight_peaks_enemy_queek	skv_battering_ram	1
vco_custom_quest_eight_peaks_enemy_queek	skv_siege_tower	2
vco_custom_quest_eight_peaks_enemy_skarsnik	grn_battering_ram	1
vco_custom_quest_eight_peaks_enemy_skarsnik	grn_siege_tower	2
vco_custom_quest_throt_ghoritch_enemy_army_archaon	chs_battering_ram	1
vco_custom_quest_throt_ghoritch_enemy_army_archaon	chs_siege_tower	3
vco_custom_quest_throt_ghoritch_enemy_army_godslayer	chs_battering_ram	1
vco_custom_quest_throt_ghoritch_enemy_army_godslayer	chs_siege_tower	3
