building_chain	id
#building_chain_availability_sets_tables;0;db/building_chain_availability_sets_tables/vco	
vco_landmark_fozzriks_flying_fastness	wh2_main_bas_skv
vco_landmark_grombrindal_repurposed_docks	wh_main_bas_dwf
vco_landmark_grombrindal_shattered_malekith_tower	wh_main_bas_dwf
vco_landmark_grombrindal_vauls_anvil	wh_main_bas_dwf
vco_landmark_grombrindal_vauls_anvil_athel_loren	wh_main_bas_dwf
vco_landmark_grombrindal_vauls_anvil_caledor	wh_main_bas_dwf
vco_landmark_imrik_asrai_enclave	wh2_main_bas_hef
vco_landmark_imrik_blessed_incubator	wh2_main_bas_hef
vco_landmark_karl_franz_cleansing_pyres	wh_main_bas_emp
vco_landmark_karl_franz_lumber_yard	wh_main_bas_emp
vco_landmark_karl_franz_marienburg_tax_house	wh_main_bas_emp
vco_landmark_kemmler_couronne_corpse_king	wh_main_bas_vmp
vco_landmark_kemmler_treeman_graveyard	wh_main_bas_vmp
vco_landmark_kostaltyn_dazhs_everburning_pyres	wh3_main_bas_ksl
vco_landmark_kostaltyn_great_orthodoxy_cathedral	wh3_main_bas_ksl
vco_landmark_kostaltyn_halls_of_atonement	wh3_main_bas_ksl
vco_landmark_kostaltyn_sacred_flame_ulric	wh3_main_bas_ksl
vco_landmark_markus_trophy_hall	wh_main_bas_emp
vco_landmark_mazdamundi_geomantic_nexus	wh2_main_bas_lzd
vco_landmark_sisters_twilight_vauls_anvil_caledor	wh_dlc05_bas_wef
vco_landmark_sisters_twilight_vauls_anvil_naggaroth	wh_dlc05_bas_wef
vco_landmark_skrag_couronne_cook_pot	wh3_main_bas_ogr
vco_landmark_skrag_great_maw_2	wh3_main_bas_ogr
vco_landmark_tretch_tower_gorgoth	wh2_main_bas_skv
vco_landmark_wulfhart_imperial_dockyard	wh_main_bas_emp
vco_landmark_wulfhart_lumber_yard	wh_main_bas_emp
vco_landmark_zhao_sigmars_rock	wh3_main_bas_cth
vco_landmark_zhao_warpforges	wh3_main_bas_cth
