building	culture	subculture	faction	description	icon	disables	short_description	display_tooltip
#building_culture_variants_tables;4;db/building_culture_variants_tables/vco								
vco_landmark_changeling_tricksters_throne			wh3_dlc24_tze_the_deceivers	wh_main_PLACEHOLDER	vco_landmark_changeling_tricksters_throne	false	vco_landmark_changeling_tricksters_throne	true
vco_landmark_darkblade_soul_engine_1			wh2_main_def_hag_graef	wh_main_PLACEHOLDER	vco_wh2_main_ritual_def_0	false	vco_landmark_darkblade_soul_engine_1	true
vco_landmark_darkblade_soul_engine_2			wh2_main_def_hag_graef	wh_main_PLACEHOLDER	wh2_main_ritual_def	false	vco_landmark_darkblade_soul_engine_2	true
vco_landmark_fozzriks_flying_fastness			wh2_dlc09_skv_clan_rictus	wh_main_PLACEHOLDER	vco_fozzriks_flying_fastness	false	vco_landmark_fozzriks_flying_fastness	true
vco_landmark_grombrindal_repurposed_docks			wh3_main_dwf_the_ancestral_throng	wh_main_PLACEHOLDER	vco_grombrindal_docks	false	vco_landmark_grombrindal_repurposed_docks	true
vco_landmark_grombrindal_shattered_malekith_tower			wh3_main_dwf_the_ancestral_throng	wh_main_PLACEHOLDER	vco_shattered_malekith_tower	false	vco_landmark_grombrindal_shattered_malekith_tower	true
vco_landmark_grombrindal_vauls_anvil			wh3_main_dwf_the_ancestral_throng	wh_main_PLACEHOLDER	vco_vauls_anvil_naggaroth	false	vco_landmark_grombrindal_vauls_anvil	true
vco_landmark_grombrindal_vauls_anvil_athel_loren			wh3_main_dwf_the_ancestral_throng	wh_main_PLACEHOLDER	vco_vauls_anvil_athel_loren	false	vco_landmark_grombrindal_vauls_anvil_athel_loren	true
vco_landmark_grombrindal_vauls_anvil_caledor			wh3_main_dwf_the_ancestral_throng	wh_main_PLACEHOLDER	vco_vauls_anvil_caledor	false	vco_landmark_grombrindal_vauls_anvil_caledor	true
vco_landmark_imrik_asrai_enclave			wh2_dlc15_hef_imrik	wh_main_PLACEHOLDER	vco_imrik_asrai_enclave	false	vco_landmark_imrik_asrai_enclave	true
vco_landmark_imrik_blessed_incubator			wh2_dlc15_hef_imrik	wh_main_PLACEHOLDER	vco_imrik_blessed_incubator	false	vco_landmark_imrik_blessed_incubator	true
vco_landmark_karl_franz_cleansing_pyres			wh_main_emp_empire	wh_main_PLACEHOLDER	vco_kostaltyn_dazhs_everburning_pyres	false	vco_landmark_karl_franz_cleansing_pyres	true
vco_landmark_karl_franz_lumber_yard			wh_main_emp_empire	wh_main_PLACEHOLDER	vco_markus_lumbar_yard	false	vco_landmark_karl_franz_lumber_yard	true
vco_landmark_karl_franz_marienburg_tax_house			wh_main_emp_empire	wh_main_PLACEHOLDER	vco_marienburg_tax_house	false	vco_landmark_karl_franz_marienburg_tax_house	true
vco_landmark_kemmler_couronne_corpse_king			wh2_dlc11_vmp_the_barrow_legion	wh_main_PLACEHOLDER	vco_kemmler_corpse_king	false	vco_landmark_kemmler_couronne_corpse_king	true
vco_landmark_kemmler_treeman_graveyard			wh2_dlc11_vmp_the_barrow_legion	wh_main_PLACEHOLDER	vco_kemmler_treeman	false	vco_landmark_kemmler_treeman_graveyard	true
vco_landmark_kostaltyn_dazhs_everburning_pyres			wh3_main_ksl_the_great_orthodoxy	wh_main_PLACEHOLDER	vco_kostaltyn_dazhs_everburning_pyres	false	vco_landmark_kostaltyn_dazhs_everburning_pyres	true
vco_landmark_kostaltyn_great_orthodoxy_cathedral			wh3_main_ksl_the_great_orthodoxy	wh_main_PLACEHOLDER	vco_kostaltyn_altdorf_cathedral	false	vco_landmark_kostaltyn_great_orthodoxy_cathedral	true
vco_landmark_kostaltyn_halls_of_atonement			wh3_main_ksl_the_great_orthodoxy	wh_main_PLACEHOLDER	vco_marienburg_tax_house	false	vco_landmark_kostaltyn_halls_of_atonement	true
vco_landmark_kostaltyn_sacred_flame_ulric			wh3_main_ksl_the_great_orthodoxy	wh_main_PLACEHOLDER	vco_kostaltyn_sacred_flame	false	vco_landmark_kostaltyn_sacred_flame_ulric	true
vco_landmark_markus_trophy_hall			wh2_dlc13_emp_the_huntmarshals_expedition	wh_main_PLACEHOLDER	vco_markus_trophy_hall	false	vco_landmark_markus_trophy_hall	true
vco_landmark_mazdamundi_geomantic_nexus			wh2_main_lzd_hexoatl	wh_main_PLACEHOLDER	vco_geomantic_nexus	false	vco_landmark_mazdamundi_geomantic_nexus	true
vco_landmark_merovech_cleansed			wh2_main_hef_avelorn	wh_main_PLACEHOLDER	vco_merovech_cleansed	false	vco_landmark_merovech_cleansed	true
vco_landmark_sisters_twilight_vauls_anvil_caledor			wh2_dlc16_wef_sisters_of_twilight	wh_main_PLACEHOLDER	vco_vauls_anvil_caledor	false	vco_landmark_sisters_twilight_vauls_anvil_caledor	true
vco_landmark_sisters_twilight_vauls_anvil_naggaroth			wh2_dlc16_wef_sisters_of_twilight	wh_main_PLACEHOLDER	vco_vauls_anvil_naggaroth	false	vco_landmark_sisters_twilight_vauls_anvil_naggaroth	true
vco_landmark_skeggi_asur_embassy			wh2_main_hef_avelorn	wh_main_PLACEHOLDER	vco_skeggi_asur_embassy	false	vco_landmark_skeggi_asur_embassy	true
vco_landmark_skrag_couronne_cook_pot			wh3_main_ogr_disciples_of_the_maw	wh_main_PLACEHOLDER	vco_skrag_couronne_cookpot	false	vco_landmark_skrag_couronne_cook_pot	true
vco_landmark_snikch_repurposed_forges			wh2_main_skv_clan_eshin	wh_main_PLACEHOLDER	vco_snikch_nan_gau_armoury	false	vco_landmark_snikch_repurposed_forges	true
vco_landmark_snikch_warpstone_hoard			wh2_main_skv_clan_eshin	wh_main_PLACEHOLDER	vco_snikch_warpstone_hoard	false	vco_landmark_snikch_warpstone_hoard	true
vco_landmark_throgg_caves_of_couronne			wh_dlc08_nor_wintertooth	wh_main_PLACEHOLDER	vco_landmark_throgg_caves_of_couronne	false	vco_landmark_throgg_caves_of_couronne	true
vco_landmark_throgg_chaos_troll_colony			wh_dlc08_nor_wintertooth	wh_main_PLACEHOLDER	vco_landmark_throgg_chaos_troll_colony	false	vco_landmark_throgg_chaos_troll_colony	true
vco_landmark_throgg_ducal_throne			wh_dlc08_nor_wintertooth	wh_main_PLACEHOLDER	vco_landmark_throgg_ducal_throne	false	vco_landmark_throgg_ducal_throne	true
vco_landmark_throgg_halls_winter_king			wh_dlc08_nor_wintertooth	wh_main_PLACEHOLDER	vco_landmark_throgg_halls_winter_king	false	vco_landmark_throgg_halls_winter_king	true
vco_landmark_throgg_river_reik_trolls			wh_dlc08_nor_wintertooth	wh_main_PLACEHOLDER	vco_landmark_throgg_river_reik_trolls	false	vco_landmark_throgg_river_reik_trolls	true
vco_landmark_tower_of_llenog			wh2_main_hef_avelorn	wh_main_PLACEHOLDER	vco_tower_of_llenog	false	vco_landmark_tower_of_llenog	true
vco_landmark_tretch_tower_gorgoth			wh2_dlc09_skv_clan_rictus	wh_main_PLACEHOLDER	vco_rictus_gorgoth_device	false	vco_landmark_tretch_tower_gorgoth	true
vco_landmark_vlad_balefire_beacon			wh_main_vmp_schwartzhafen	wh_main_PLACEHOLDER	vco_balefire_shrine_of_karaz_a_karak	false	vco_landmark_vlad_balefire_beacon	true
vco_landmark_vlad_copper_mountain			wh_main_vmp_schwartzhafen	wh_main_PLACEHOLDER	vco_copper_mountain	false	vco_landmark_vlad_copper_mountain	true
