id	building_level	unit_group
#building_level_armed_citizenry_junctions_tables;1;db/building_level_armed_citizenry_junctions_tables/vco		
1791915557	vco_landmark_fozzriks_flying_fastness	wh2_main_skv_inf_stormvermin_0
1791915558	vco_landmark_fozzriks_flying_fastness	wh2_main_skv_inf_stormvermin_0
1791915559	vco_landmark_fozzriks_flying_fastness	wh2_main_skv_inf_stormvermin_0
1791915560	vco_landmark_fozzriks_flying_fastness	wh2_main_skv_mon_hell_pit_abomination
1791915561	vco_landmark_fozzriks_flying_fastness	wh2_main_skv_cha_warlock_engineer
1791915562	vco_landmark_mazdamundi_geomantic_nexus	wh2_main_lzd_inf_temple_guards
1791915563	vco_landmark_mazdamundi_geomantic_nexus	wh2_main_lzd_inf_temple_guards
1791915564	vco_landmark_mazdamundi_geomantic_nexus	wh2_main_lzd_inf_temple_guards
1791915572	vco_landmark_kostaltyn_sacred_flame_ulric	wh_main_emp_inf_greatswords
1791915573	vco_landmark_kostaltyn_sacred_flame_ulric	wh_main_emp_inf_greatswords
1791915574	vco_landmark_imrik_blessed_incubator	wh2_main_hef_mon_star_dragon
1791915575	vco_landmark_imrik_asrai_enclave	vco_landmark_imrik_asrai_enclave
