character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/vco				
vco_skill_chd_grimgor_ironbound_1_da_alpha_orc	vco_grimgor_ironbound_labourer_experience	1	faction_to_force_own	100.0000
vco_skill_chd_grimgor_ironbound_1_da_alpha_orc	wh3_dlc23_effect_upkeep_chd_labourers	1	character_to_force_own	-20.0000
vco_skill_chd_grimgor_ironbound_2_chain_gang	vco_grimgor_ironbound_labourer_melee_attack	1	character_to_force_own	3.0000
vco_skill_chd_grimgor_ironbound_2_chain_gang	vco_grimgor_ironbound_labourer_melee_attack	2	character_to_force_own	6.0000
vco_skill_chd_grimgor_ironbound_2_chain_gang	vco_grimgor_ironbound_labourer_melee_attack	3	character_to_force_own	9.0000
vco_skill_chd_grimgor_ironbound_2_chain_gang	vco_grimgor_ironbound_labourer_weapon_strength	1	character_to_force_own	10.0000
vco_skill_chd_grimgor_ironbound_2_chain_gang	vco_grimgor_ironbound_labourer_weapon_strength	2	character_to_force_own	15.0000
vco_skill_chd_grimgor_ironbound_2_chain_gang	vco_grimgor_ironbound_labourer_weapon_strength	3	character_to_force_own	20.0000
vco_skill_chd_grimgor_ironbound_3_duck_weave	vco_grimgor_ironbound_labourer_missile_resistance	1	character_to_force_own	5.0000
vco_skill_chd_grimgor_ironbound_3_duck_weave	vco_grimgor_ironbound_labourer_missile_resistance	2	character_to_force_own	15.0000
vco_skill_chd_grimgor_ironbound_3_duck_weave	vco_grimgor_ironbound_labourer_missile_resistance	3	character_to_force_own	25.0000
vco_skill_chd_grimgor_ironbound_3_duck_weave	vco_grimgor_ironbound_labourer_vigour	1	character_to_force_own	15.0000
vco_skill_chd_grimgor_ironbound_3_duck_weave	vco_grimgor_ironbound_labourer_vigour	2	character_to_force_own	20.0000
vco_skill_chd_grimgor_ironbound_3_duck_weave	vco_grimgor_ironbound_labourer_vigour	3	character_to_force_own	25.0000
vco_skill_chd_grimgor_ironbound_4_hard_fast	vco_grimgor_ironbound_labourer_melee_defence	1	character_to_force_own	5.0000
vco_skill_chd_grimgor_ironbound_4_hard_fast	vco_grimgor_ironbound_labourer_melee_defence	2	character_to_force_own	10.0000
vco_skill_chd_grimgor_ironbound_4_hard_fast	vco_grimgor_ironbound_labourer_melee_defence	3	character_to_force_own	15.0000
vco_skill_chd_grimgor_ironbound_4_hard_fast	vco_grimgor_ironbound_labourer_speed	1	character_to_force_own	4.0000
vco_skill_chd_grimgor_ironbound_4_hard_fast	vco_grimgor_ironbound_labourer_speed	2	character_to_force_own	6.0000
vco_skill_chd_grimgor_ironbound_4_hard_fast	vco_grimgor_ironbound_labourer_speed	3	character_to_force_own	8.0000
vco_skill_chd_grimgor_ironbound_5_waaagh	vco_grimgor_ironbound_labourer_charge_bonus	1	character_to_force_own	15.0000
vco_skill_chd_grimgor_ironbound_5_waaagh	vco_grimgor_ironbound_labourer_charge_bonus	2	character_to_force_own	20.0000
vco_skill_chd_grimgor_ironbound_5_waaagh	vco_grimgor_ironbound_labourer_charge_bonus	3	character_to_force_own	25.0000
vco_skill_chd_grimgor_ironbound_5_waaagh	vco_grimgor_ironbound_labourer_leadership	1	character_to_force_own	2.0000
vco_skill_chd_grimgor_ironbound_5_waaagh	vco_grimgor_ironbound_labourer_leadership	2	character_to_force_own	4.0000
vco_skill_chd_grimgor_ironbound_5_waaagh	vco_grimgor_ironbound_labourer_leadership	3	character_to_force_own	6.0000
vco_skill_chd_grimgor_ironbound_6_grimgors_clankers	vco_grimgor_ironbound_labourer_vanguard	1	character_to_force_own	1.0000
vco_skill_chd_grimgor_ironbound_6_grimgors_clankers	vco_grimgor_ironbound_labourer_ward_save	1	character_to_force_own	5.0000
vco_wh_dlc08_skill_grn_lord_unique_grimgor_0	vco_grimgor_ironbound_labourer_recruit_rank	1	character_to_force_own	2.0000
vco_wh_dlc08_skill_grn_lord_unique_grimgor_0	wh2_dlc15_effect_ability_enable_best_of_da_best	1	character_to_character_own	1.0000
vco_wh_dlc08_skill_grn_lord_unique_grimgor_1	wh3_dlc23_effect_force_chd_campaign_post_battle_labour	1	faction_to_force_own	10.0000
vco_wh_dlc08_skill_grn_lord_unique_grimgor_1	wh3_dlc23_pooled_resource_chd_workload_modifier	1	character_to_province_own	-15.0000
vco_wh_dlc08_skill_grn_lord_unique_grimgor_2	vco_grimgor_ironbound_labourer_bonus_large	1	character_to_force_own	8.0000
vco_wh_dlc08_skill_grn_lord_unique_grimgor_2	vco_grimgor_ironbound_labourer_leadership	1	character_to_force_own	8.0000
vco_wh_main_skill_grn_lord_battle_tunnel_boss	wh_main_effect_force_stat_leadership_during_siege_subterranean	1	character_to_force_own	6.0000
vco_wh_main_skill_grn_lord_battle_tunnel_boss	wh_main_effect_force_stat_leadership_during_subterranean	1	character_to_force_own	6.0000
vco_wh_main_skill_innate_grn_grimgor_ironhide	vco_grimgor_ironbound_labourer_leadership	1	character_to_force_own	12.0000
vco_wh_main_skill_innate_grn_grimgor_ironhide	vco_grimgor_ironbound_labourer_weapon_strength	1	character_to_force_own	10.0000
vco_wh_main_skill_innate_grn_grimgor_ironhide	wh2_dlc15_effect_ability_enable_youre_next	1	character_to_character_own	1.0000
vco_wh_main_skill_innate_grn_grimgor_ironhide	wh2_dlc16_attribute_enable_expendable	1	character_to_character_own	1.0000
vco_wh_main_skill_innate_grn_grimgor_ironhide	wh2_main_effect_grant_immortality_hero	1	character_to_character_own	1.0000
vco_wh_main_skill_innate_grn_grimgor_ironhide	wh3_main_effect_agent_action_passive_spread_corruption_chaos_effect	1	character_to_province_any	5.0000
vco_wh_main_skill_innate_grn_grimgor_ironhide	wh_main_effect_force_all_campaign_post_battle_loot_mod	1	character_to_character_own	30.0000
