set	item	mod_disabled
#character_skill_node_set_items_tables;0;db/character_skill_node_set_items_tables/vco		
wh_main_skill_node_set_vco_chs_archaon	vco_wh3_main_agent_action_scaling_vco_wh_main_skill_node_set_chs_archaon	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_dlc08_skill_chs_lord_unique_archaon_0	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_dlc08_skill_chs_lord_unique_archaon_1	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_dlc08_skill_chs_lord_unique_archaon_2	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_dlc08_skill_chs_lord_unique_archaon_3	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_dlc08_skill_chs_lord_unique_archaon_4	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_dlc08_skill_chs_lord_unique_archaon_5	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_battle_01	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_battle_02	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_battle_03	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_battle_04	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_battle_05	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_battle_06	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_battle_07	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_battle_08	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_battle_09	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_battle_10	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_battle_11	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_battle_12	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_battle_13	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_campaign_01	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_campaign_02	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_campaign_03	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_campaign_04	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_campaign_05	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_campaign_06	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_campaign_07	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_campaign_08	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_campaign_09	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_campaign_10	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_campaign_11	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_innate_01	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_magic1_01	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_magic1_02	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_magic1_03	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_magic1_04	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_magic1_05	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_magic1_06	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_magic1_07	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_magic1_08	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_magic1_09	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_magic1_10	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_magic1_11	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_magic1_dummy	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_self_01	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_self_02	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_self_03	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_self_04	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_self_05	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_self_06	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_self_07	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_self_08	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_self_09	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_self_10	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_self_11	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_unique_07	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_unique_08	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_unique_09	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_unique_10	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_chs_archaon_unique_auth	false
wh_main_skill_node_set_vco_chs_archaon	vco_wh_main_skill_node_set_chs_archaon_mentor	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh3_dlc23_skill_node_set_grn_grimgor_campaign_01	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh3_dlc23_skill_node_set_grn_grimgor_campaign_02	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh3_dlc23_skill_node_set_grn_grimgor_campaign_03	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh3_dlc23_skill_node_set_grn_grimgor_campaign_04	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh3_dlc23_skill_node_set_grn_grimgor_campaign_05	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh3_dlc23_skill_node_set_grn_grimgor_campaign_06	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh3_dlc23_skill_node_set_grn_grimgor_labourers_1	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh3_dlc23_skill_node_set_grn_grimgor_labourers_2	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh3_dlc23_skill_node_set_grn_grimgor_labourers_3	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh3_dlc23_skill_node_set_grn_grimgor_labourers_4	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh3_dlc23_skill_node_set_grn_grimgor_labourers_5	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh3_dlc23_skill_node_set_grn_grimgor_labourers_6	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh3_main_agent_action_scaling_vco_wh_main_skill_node_set_grn_grimgor	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_dlc08_skill_grn_lord_unique_grimgor_0	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_dlc08_skill_grn_lord_unique_grimgor_1	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_dlc08_skill_grn_lord_unique_grimgor_2	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_dlc08_skill_grn_lord_unique_grimgor_3	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_dlc08_skill_grn_lord_unique_grimgor_4	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_dlc08_skill_grn_lord_unique_grimgor_5	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_main_skill_node_grn_grimgor_innate_01	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_main_skill_node_grn_grimgor_self_01	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_main_skill_node_grn_grimgor_self_02	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_main_skill_node_grn_grimgor_self_03	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_main_skill_node_grn_grimgor_self_04	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_main_skill_node_grn_grimgor_self_05	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_main_skill_node_grn_grimgor_self_06	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_main_skill_node_grn_grimgor_self_07	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_main_skill_node_grn_grimgor_self_08	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_main_skill_node_grn_grimgor_self_09	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_main_skill_node_grn_grimgor_self_10	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_main_skill_node_grn_grimgor_self_11	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_main_skill_node_grn_grimgor_unique_03	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_main_skill_node_grn_grimgor_unique_04	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_main_skill_node_grn_grimgor_unique_05	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_main_skill_node_grn_grimgor_unique_06	false
wh_main_skill_node_set_vco_grn_grimgor	vco_wh_main_skill_node_set_grn_grimgor_embed	false
