key	campaign_key	character_skill_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
#character_skill_nodes_tables;6;db/character_skill_nodes_tables/vco									
vco_wh3_dlc23_skill_node_set_grn_grimgor_campaign_01		wh2_main_skill_all_hero_assist_army_replenish_troops		5	0		0	0	true
vco_wh3_dlc23_skill_node_set_grn_grimgor_campaign_02		wh2_main_skill_all_hero_passive_spread_public_order		5	1		0	0	true
vco_wh3_dlc23_skill_node_set_grn_grimgor_campaign_03		wh2_main_skill_all_hero_hinder_settlement_damage_building		5	2		0	0	true
vco_wh3_dlc23_skill_node_set_grn_grimgor_campaign_04		wh2_main_skill_all_hero_hinder_agent_wound		5	3		0	0	true
vco_wh3_dlc23_skill_node_set_grn_grimgor_campaign_05		wh2_main_skill_all_hero_hinder_army_assault_units		5	4		0	0	true
vco_wh3_dlc23_skill_node_set_grn_grimgor_campaign_06		wh2_main_skill_all_hero_reduce_action_cost		5	5		0	0	true
vco_wh3_dlc23_skill_node_set_grn_grimgor_labourers_1		vco_skill_chd_grimgor_ironbound_1_da_alpha_orc		4	0		0	0	true
vco_wh3_dlc23_skill_node_set_grn_grimgor_labourers_2		vco_skill_chd_grimgor_ironbound_2_chain_gang		4	1		0	0	true
vco_wh3_dlc23_skill_node_set_grn_grimgor_labourers_3		vco_skill_chd_grimgor_ironbound_3_duck_weave		4	2		0	0	true
vco_wh3_dlc23_skill_node_set_grn_grimgor_labourers_4		vco_skill_chd_grimgor_ironbound_4_hard_fast		4	3		0	0	true
vco_wh3_dlc23_skill_node_set_grn_grimgor_labourers_5		vco_skill_chd_grimgor_ironbound_5_waaagh		4	4		0	0	true
vco_wh3_dlc23_skill_node_set_grn_grimgor_labourers_6		vco_skill_chd_grimgor_ironbound_6_grimgors_clankers		4	5		0	6	true
vco_wh3_main_agent_action_scaling_vco_wh_main_skill_node_set_chs_archaon		wh3_main_skill_agent_action_success_scaling		99	0		0	0	false
vco_wh3_main_agent_action_scaling_vco_wh_main_skill_node_set_grn_grimgor		wh3_main_skill_agent_action_success_scaling		99	0		0	0	false
vco_wh_dlc08_skill_chs_lord_unique_archaon_0		wh_dlc08_skill_chs_lord_unique_archaon_0		1	0		0	0	true
vco_wh_dlc08_skill_chs_lord_unique_archaon_1		wh_dlc08_skill_chs_lord_unique_archaon_1		1	1		0	0	true
vco_wh_dlc08_skill_chs_lord_unique_archaon_2		wh_dlc08_skill_chs_lord_unique_archaon_2		1	2		0	0	true
vco_wh_dlc08_skill_chs_lord_unique_archaon_3		wh_dlc08_skill_chs_lord_unique_archaon_3		1	3		0	0	true
vco_wh_dlc08_skill_chs_lord_unique_archaon_4		wh_dlc08_skill_chs_lord_unique_archaon_4		1	4		0	0	true
vco_wh_dlc08_skill_chs_lord_unique_archaon_5		wh_dlc08_skill_chs_lord_unique_archaon_5		1	5		0	4	true
vco_wh_dlc08_skill_grn_lord_unique_grimgor_0		vco_wh_dlc08_skill_grn_lord_unique_grimgor_0		1	0		0	0	true
vco_wh_dlc08_skill_grn_lord_unique_grimgor_1		vco_wh_dlc08_skill_grn_lord_unique_grimgor_1		1	1		0	0	true
