key	generate	localised_description	localised_title	ui_image	prioritized	event_category	sound_popup_override	sound_click_override	override_icon	is_large_dilemma
#dilemmas_tables;3;db/dilemmas_tables/vco										
vco_brt_alb_dilemma_mananns_favour	false	Alberic holds his trident high as the last of the pirates' ships slips beneath the waves. A peal of thunder rings out, and a living mountain of blue-black water rises up out of the ocean, coalescing into the semblance of a huge man. With a booming voice, it declares that Manann wishes to grant the Bretonnians a boon.	The Sea God's Boon	vco_alberic_dilemma	false	Event	UI_CAM_EVENT_Dilemma			false
vco_brt_rep_dilemma_eternal_war	false	As Repanse de Lyonesse and her faithful protector, Henri le Massif, tour the newly liberated lands, they find themselves at a crossroads. Though the Undead have been vanquished in Nehekera, they are still surrounded by the forces of evil. To the south, strange reptiles and teeming hordes of vermin infest the jungles. To the north, the Greenskins rule the Badlands. Which foe should face the Lady's holy wrath?	The Eternal Errantry War	vco_repanse_dilemma	false	Event	UI_CAM_EVENT_Dilemma			false
vco_bst_mal_dilemma_harbinger	false	Amid a thunder of black wings a bestial figure descended from on high and unleashed lancing beams of amber fire upon the terrified soldiers beneath him. Beastmen emerged from the forests, and unholy winged creatures descended from the sky, and soon the battle was won. The Cult of Sigmar's mighty coalition splintered into a series of disparate warbands soon thereafter. Malagor would make an example out of one of them. The rest would be food for the crows...	Prophecy Fulfilled	vco_malagor_dilemma	false	Event	UI_CAM_EVENT_Dilemma			false
vco_chd_ast_dilemma_old_foe	false	As the Disciples of Hashut did battle with the teeming masses of Greenskins arrayed before them, one among their number levelled their axe directly at Astragoth in challenge. It was none other than the infamous Black Orc Warlord, Grimgor. Ironhand and Ironhide strove against each other for hours, but eventually Astragoth emerged the victor. Grimgor's fate is now in his hands...	An Old Foe Returns	vco_astragoth_dilemma	false	Event	UI_CAM_EVENT_Dilemma			false
vco_chd_dra_dilemma_witch_kings_gift	false	The warfleet steamed forth into the Jade Sea, intent on raiding Cathay’s eastern coast. As luck would have it, they intercepted the Black Ark “Joyous Desolation” en route back to Naggarond, its hold brimming with slaves and plunder. After a furious battle, the ship was boarded and its crew slain. All that remains is to decide the fate of the chattel within.	The Witch King’s Gift	vco_drazhoath_dilemma	false	Event	UI_CAM_EVENT_Dilemma			false
vco_chd_zha_dilemma_marcher_fortress	false	A hail of rocketfire blasted the battlements of the Marcher Fortress to ruin, and the Warhost of Zharr stormed into the breach. Great was the bloodshed on both sides, but, inevitably, Zhatan’s forces emerged victorious, and the garrison was slaughtered. Zhatan barks out an order to begin pillaging the stronghold’s vast arsenal, but time is of the essence. Even now, the Dark Prince’s daemon hordes muster to retake the fortress. What weaponry should the convoys prioritise loading?	The Marcher Fortress Arsenal	vco_zhatan_dilemma	false	Event	UI_CAM_EVENT_Dilemma			false
vco_chs_arc_dilemma_slayer_kings	false	Release me from this steel thralldom, Everchosen, so that I may kill for mighty Khorne once more. To taste the blood he spills, rather than watch it drip down the walls of my prison. To wield, and not be wielded. You swore I would be free! You swore!	U'zhul's Fate	vco_archaon_dilemma	false	Event	UI_CAM_EVENT_Dilemma			false
vco_chs_aza_dilemma_supplicants_come	false	Within his Dark Fortress, the Prince of Damnation reigns over his Ecstatic Legions. As his latest subjects come to grovel at his feet, Azazel is momentarily roused from his indolent stupour. These great champions of the Old World will surely provide him with some amusement. Indulge one of them, and let the others wallow in despair.	The Supplicants Come	vco_azazel_dilemma	false	Event	UI_CAM_EVENT_Dilemma			false
vco_chs_bel_dilemma_aetherophasic_engine	false	At last, Be'lakor's greatest creation is ready. The Aetherophasic Engine is a twisted fusion of flesh and metal, powered by thousands of tortured souls. Its purpose: to forcibly bend an entire nation of mortals to the Dark Master's will. There is only one matter left to attend to: the target.	The Aetherophasic Engine	vco_belakor_dilemma	false	Event	UI_CAM_EVENT_Dilemma			false
