bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/vco		
armour_mod	vco_malagor_gor_armour	vco_malagor_gors
armour_mod	vco_ogr_greasus_armour	vco_ogr_greasus
armour_mod	vco_ogr_skr_gorger_armour	vco_ogr_gorgers
charge_add	vco_cylostra_zp_charge_bonus	vco_cylostra_zombie_pirates
charge_add	vco_ogr_greasus_charge_bonus	vco_ogr_greasus
charge_bonus	vco_grimgor_ironbound_labourer_charge_bonus	vco_grimgor_ironbound_orc_labourers
charge_bonus	vco_nor_thr_troll_charge_bonus	vco_wintertooth_trolls
cost_mod	vco_nor_thr_troll_recruitment_cost	vco_wintertooth_trolls
damage_vs_large_entities	vco_grimgor_ironbound_labourer_bonus_large	vco_grimgor_ironbound_orc_labourers
damage_vs_large_entities	vco_nor_wul_marauder_spear_hunter_bonus_large	vco_nor_marauder_hunters_spears
melee_attack_mod	vco_brt_alberic_vow_melee_attack	vco_brt_alberic
melee_attack_mod	vco_grimgor_ironbound_labourer_melee_attack	vco_grimgor_ironbound_orc_labourers
melee_damage_ap_mod_add	vco_brt_alberic_vow_melee_damage_ap	vco_brt_alberic
melee_damage_mod_add	vco_brt_alberic_vow_melee_damage	vco_brt_alberic
melee_damage_mod_add	vco_cst_rotting_units_weapon_strength	vco_cst_rotting
melee_damage_mod_add	vco_sla_nkari_weapon_strength	vco_sla_nkari
melee_damage_mod_add	vco_vil_arch_weapon_strength	vco_chs_arch
melee_damage_mod_add	vco_vmp_man_weapon_strength	vco_vmp_man
melee_damage_mod_mult	vco_astragoth_labourer_weapon_strength	vco_astragoth_labourers
melee_damage_mod_mult	vco_cylostra_zp_weapon_strength	vco_cylostra_zombie_pirates
melee_damage_mod_mult	vco_drazhoath_infernal_guard_weapon_strength	vco_drazhoath_infernal_guard
melee_damage_mod_mult	vco_grimgor_ironbound_labourer_weapon_strength	vco_grimgor_ironbound_orc_labourers
melee_damage_mod_mult	vco_grn_ska_squig_weapon_strength	vco_skarsnik_squigs
melee_damage_mod_mult	vco_nor_thr_troll_weapon_strength	vco_wintertooth_trolls
melee_damage_mod_mult	vco_repanse_peasant_weapon_strength	vco_repanse_peasants
melee_damage_mod_mult	vco_skv_clan_moulder_strength	wh2_dlc16_clan_moulder_units
melee_damage_mod_mult	vco_skv_mdr_ghoritch_weapon_strength	vco_skv_ghoritch
melee_damage_mod_mult	vco_skv_mor_stormvermin_weapon_strength	vco_queek_stormvermin
melee_defence_mod	vco_grimgor_ironbound_labourer_melee_defence	vco_grimgor_ironbound_orc_labourers
melee_defence_mod	vco_vmp_kem_melee_defence	vco_vmp_kem
missile_damage_ap_mod_mult	vco_cst_zombie_deckhands_missile_strength	wh2_dlc11_cst_inf_all_zombie_deckhands_mobs
missile_damage_mod_mult	vco_cst_zombie_deckhands_missile_strength	wh2_dlc11_cst_inf_all_zombie_deckhands_mobs
missile_damage_mod_mult	vco_hef_nag_shadows_missile_strength	vco_hef_shadows
mod_land_movement_battle	vco_cylostra_zp_speed	vco_cylostra_zombie_pirates
mod_land_movement_battle	vco_grimgor_ironbound_labourer_speed	vco_grimgor_ironbound_orc_labourers
mod_land_movement_battle	vco_grn_ska_squig_speed	vco_skarsnik_squigs
mod_land_movement_battle	vco_hef_imrik_dragon_speed	vco_hef_dragons
mod_land_movement_battle	vco_nor_thr_troll_speed	vco_wintertooth_trolls
mod_land_movement_battle	vco_ogr_greasus_speed	vco_ogr_greasus
mod_land_movement_battle	vco_ogr_skr_gorger_speed	vco_ogr_gorgers
morale	vco_cylostra_zp_leadership	vco_cylostra_zombie_pirates
morale	vco_grimgor_ironbound_labourer_leadership	vco_grimgor_ironbound_orc_labourers
morale	vco_nor_thr_troll_leadership	vco_wintertooth_trolls
unit_damage_resistance_all_mod	vco_def_morathi_ward_save	vco_def_morathi
unit_damage_resistance_all_mod	vco_grimgor_ironbound_labourer_ward_save	vco_astragoth_labourers
unit_damage_resistance_all_mod	vco_ogr_greasus_ward_save	vco_ogr_greasus
unit_damage_resistance_all_mod	vco_vmp_man_ward_save	vco_vmp_man
unit_damage_resistance_missile_mod	vco_def_morathi_missile_resistance	vco_def_morathi
unit_damage_resistance_missile_mod	vco_grimgor_ironbound_labourer_missile_resistance	vco_grimgor_ironbound_orc_labourers
unit_damage_resistance_missile_mod	vco_ogr_skr_gorger_missile_resistance	vco_ogr_gorgers
unit_damage_resistance_missile_mod	vco_skv_mdr_ghoritch_missile_resistance	vco_skv_ghoritch
unit_damage_resistance_missile_mod	vco_vmp_kem_missile_resistance	vco_vmp_kem
unit_damage_resistance_physical_mod	vco_brt_alberic_vow_resistance_physical	vco_brt_alberic
unit_damage_resistance_physical_mod	vco_cylostra_zp_physical_resistance	vco_cylostra_zombie_pirates
unit_damage_resistance_physical_mod	vco_nor_thr_troll_physical_resistance	vco_wintertooth_trolls
unit_damage_resistance_physical_mod	vco_repanse_peasant_physical_resistance	vco_repanse_peasants
unit_fatigue_resistance_mod	vco_cylostra_zp_vigour_loss_reduction	vco_cylostra_zombie_pirates
unit_fatigue_resistance_mod	vco_grimgor_ironbound_labourer_vigour	vco_grimgor_ironbound_orc_labourers
unit_fatigue_resistance_mod	vco_nor_thr_troll_vigour_loss_reduction	vco_wintertooth_trolls
unit_xp_mod	vco_grimgor_ironbound_labourer_recruit_rank	vco_grimgor_ironbound_orc_labourers
unit_xp_mod	vco_grn_ska_squig_recruit_rank	vco_skarsnik_squigs
unit_xp_mod	vco_nor_thr_troll_recruit_rank	vco_wintertooth_trolls
xp_gain_rate_mod	vco_grimgor_ironbound_labourer_experience	vco_astragoth_labourers
