effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables;0;db/effects_tables/vco					
vco_all_campaign_victory_dummy	hunter_effect_icons_loyalty_green.png	1	hunter_effect_icons_loyalty_green.png	campaign	true
vco_all_movement_range_post_raze_port	wh_dlc08_seafang.png	101	wh_dlc08_seafang.png	campaign	true
vco_archaon_vilitch_dummy_body	tzeentch_brand_vco.png	101	tzeentch_brand_vco.png	campaign	true
vco_archaon_vilitch_dummy_mind	archaon_possessed_vco.png	101	archaon_possessed_vco.png	campaign	true
vco_astragoth_labourer_weapon_strength	weapon_damage.png	101	weapon_damage.png	campaign	true
vco_belegar_corruption_skaven_events	corruption_skaven.png	101	corruption_skaven.png	campaign	false
vco_brt_alb_dilemma	wh_dlc07_item_abilities_wrath_of_manann.png	101	wh_dlc07_item_abilities_wrath_of_manann.png	campaign	true
vco_brt_alberic_vow_melee_attack	melee_character.png	101	melee_character.png	campaign	true
vco_brt_alberic_vow_melee_damage	weapon_damage_character.png	101	weapon_damage_character.png	campaign	true
vco_brt_alberic_vow_melee_damage_ap	armour_piercing_character.png	101	armour_piercing_character.png	campaign	true
vco_brt_alberic_vow_resistance_physical	resistance_physical.png	101	resistance_physical.png	campaign	true
vco_brt_rep_dilemma	vco_repanse_skull.png	101	vco_repanse_skull.png	campaign	true
vco_bst_mal_dilemma	wh_dlc03_hero_passive_unholy_power.png	101	wh_dlc03_hero_passive_unholy_power.png	campaign	true
vco_chd_ast_dilemma	wh2_dlc15_army_abilities_grimgors_waaagh.png	101	wh2_dlc15_army_abilities_grimgors_waaagh.png	campaign	true
vco_chd_dra_dilemma	wh3_dlc23_army_abilities_wrath_of_zharr.png	101	wh3_dlc23_army_abilities_wrath_of_zharr.png	campaign	true
vco_chd_zha_dilemma	wh3_main_character_abilities_gate_of_slaanesh.png	101	wh3_main_character_abilities_gate_of_slaanesh.png	campaign	true
vco_chs_arc_dilemma	wh_dlc01_weapon_abilities_the_slayer_of_kings.png	101	wh_dlc01_weapon_abilities_the_slayer_of_kings.png	campaign	true
vco_chs_aza_dilemma	bullet_sla_promise_of_perfection.png	101	bullet_sla_promise_of_perfection.png	campaign	true
vco_chs_bel_dilemma	wh3_main_lord_abilities_the_dark_master.png	101	wh3_main_lord_abilities_the_dark_master.png	campaign	true
vco_chs_bel_everchosen_dominated	belakor_daemon_prince.png	101	belakor_daemon_prince.png	campaign	true
vco_chs_fes_dilemma	wh2_main_spell_plague_pestilent_birth.png	101	wh2_main_spell_plague_pestilent_birth.png	campaign	true
vco_chs_val_dilemma	wh3_main_lord_abilities_willing_prey.png	101	wh3_main_lord_abilities_willing_prey.png	campaign	true
vco_chs_vil_dilemma	archaon_vco.png	101	archaon_vco.png	campaign	true
vco_cst_cyl_bretonnia_unlock	wh2_dlc11_character_abilities_beyond_the_realm.png	101	wh2_dlc11_character_abilities_beyond_the_realm.png	campaign	true
vco_cst_cyl_dilemma	wh2_dlc11_lord_abilities_song_of_enthrallment.png	101	wh2_dlc11_lord_abilities_song_of_enthrallment.png	campaign	true
vco_cst_rotting_units_weapon_strength	weapon_damage.png	101	weapon_damage.png	campaign	true
vco_cst_zombie_deckhands_missile_strength	ranged_damage.png	101	ranged_damage.png	campaign	true
vco_cth_miao_dilemma	shen_zoo_vengeance.png	101	shen_zoo_vengeance.png	campaign	true
vco_cth_zhao_compass_upgraded	wh2_dlc12_unit_abilities_burning_alignment.png	101	wh2_dlc12_unit_abilities_burning_alignment.png	campaign	true
vco_cylostra_zp_charge_bonus	charge.png	101	charge.png	campaign	true
vco_cylostra_zp_dazed_attacks	wh2_dlc17_unit_contact_dazed.png	101	wh2_dlc17_unit_contact_dazed.png	campaign	true
vco_cylostra_zp_frostbite_attacks	phase_frostbite.png	101	phase_frostbite.png	campaign	true
vco_cylostra_zp_leadership	morale.png	101	morale.png	campaign	true
vco_cylostra_zp_physical_resistance	resistance_physical.png	101	resistance_physical.png	campaign	true
vco_cylostra_zp_speed	battle_movement.png	101	battle_movement.png	campaign	true
vco_cylostra_zp_vigour_loss_reduction	vigour.png	101	vigour.png	campaign	true
vco_cylostra_zp_weapon_strength	weapon_damage.png	101	weapon_damage.png	campaign	true
vco_def_hel_dilemma	wh2_dlc10_weapon_abilities_sword_of_khaine.png	101	wh2_dlc10_weapon_abilities_sword_of_khaine.png	campaign	true
vco_def_malus_dilemma	wh2_dlc14_lord_abilities_tzarkan.png	101	wh2_dlc14_lord_abilities_tzarkan.png	campaign	true
vco_def_morathi_missile_resistance	resistance_missile.png	101	resistance_missile.png	campaign	true
vco_def_morathi_slaanesh_unlock_dummy	attribute_mark_slaanesh.png	1	attribute_mark_slaanesh.png	campaign	true
vco_def_morathi_ward_save	resistance_ward_save.png	101	resistance_ward_save.png	campaign	true
vco_drazhoath_infernal_guard_weapon_strength	weapon_damage.png	101	weapon_damage.png	campaign	true
vco_dwf_bel_siege_skavenblight_dummy	vco_blighted_marshes.png	101	vco_blighted_marshes.png	campaign	true
vco_dwf_gro_dilemma_elves	wh2_dlc10_lord_abilities_oath_of_vengeance.png	101	wh2_dlc10_lord_abilities_oath_of_vengeance.png	campaign	true
vco_dwf_grombrindal_allegiance_points_mod_wef_hef	allegiance.png	101	allegiance.png	campaign	true
vco_dwf_per_turn_oathgold_gain	oathgold.png	101	oathgold.png	campaign	true
vco_dwf_ung_dilemma	wh2_dlc16_item_abilities_twilight_horn_i.png	101	wh2_dlc16_item_abilities_twilight_horn_i.png	campaign	true
vco_effect_force_stat_ward_save_vs_daemons	resistance_ward_save.png	101	resistance_ward_save.png	campaign	true
vco_emp_karl_storm_chaos_dummy	vco_broshake.png	101	vco_broshake.png	campaign	true
vco_emp_mar_dilemma	vco_hunter_trophy.png	101	vco_hunter_trophy.png	campaign	true
vco_emp_vol_dilemma	wh_main_spell_bound_shield_of_faith.png	101	wh_main_spell_bound_shield_of_faith.png	campaign	true
vco_grimgor_ironbound_labourer_bonus_large	bonus_vs_large.png	101	bonus_vs_large.png	campaign	true
vco_grimgor_ironbound_labourer_charge_bonus	charge.png	101	charge.png	campaign	true
vco_grimgor_ironbound_labourer_experience	experience.png	101	experience.png	campaign	true
vco_grimgor_ironbound_labourer_leadership	morale.png	101	morale.png	campaign	true
vco_grimgor_ironbound_labourer_melee_attack	melee.png	101	melee.png	campaign	true
vco_grimgor_ironbound_labourer_melee_defence	defence.png	101	defence.png	campaign	true
vco_grimgor_ironbound_labourer_missile_resistance	resistance_missile.png	101	resistance_missile.png	campaign	true
vco_grimgor_ironbound_labourer_recruit_rank	experience.png	101	experience.png	campaign	true
vco_grimgor_ironbound_labourer_speed	battle_movement.png	101	battle_movement.png	campaign	true
vco_grimgor_ironbound_labourer_vanguard	attribute_guerrilla_deploy.png	101	attribute_guerrilla_deploy.png	campaign	true
vco_grimgor_ironbound_labourer_vigour	vigour.png	101	vigour.png	campaign	true
vco_grimgor_ironbound_labourer_ward_save	resistance_ward_save.png	101	resistance_ward_save.png	campaign	true
vco_grimgor_ironbound_labourer_weapon_strength	weapon_damage.png	101	weapon_damage.png	campaign	true
vco_grn_black_orcs_frostbite	phase_frostbite.png	101	phase_frostbite.png	battle	true
vco_grn_per_turn_salvage_gain	scrap.png	1	scrap.png	campaign	true
vco_grn_per_turn_waaagh	waaagh_charge.png	1	waaagh_charge.png	campaign	true
vco_grn_ska_dilemma	wh3_dlc23_hero_passive_lucky_git.png	101	wh3_dlc23_hero_passive_lucky_git.png	campaign	true
vco_grn_ska_squig_recruit_rank	experience.png	101	experience.png	campaign	true
vco_grn_ska_squig_speed	battle_movement.png	101	battle_movement.png	campaign	true
vco_grn_ska_squig_weapon_strength	weapon_damage.png	101	weapon_damage.png	campaign	true
vco_harbinger_harpies_unbreakable	attribute_unbreakable.png	101	attribute_unbreakable.png	campaign	true
vco_hef_ala_forest_spirits_recruit_rank	experience.png	101	experience.png	campaign	true
vco_hef_ala_forest_spirits_replenishment	replenishment.png	101	replenishment.png	campaign	true
vco_hef_ala_forest_spirits_weapon_strength	weapon_damage.png	101	weapon_damage.png	campaign	true
vco_hef_alarialle_ariel_dummy	wh2_dlc16_item_abilities_acorns_of_the_oak_of_ages.png	101	wh2_dlc16_item_abilities_acorns_of_the_oak_of_ages.png	campaign	true
vco_hef_imrik_dragon_speed	battle_movement_character.png	101	battle_movement_character.png	campaign	true
vco_hef_imrik_flammable_contact	wh_dlc06_unit_contact_flammable.png	101	wh_dlc06_unit_contact_flammable.png	campaign	true
vco_hef_nag_shadows_missile_strength	ranged_damage.png	101	ranged_damage.png	campaign	true
vco_hef_tyrion_allegiance_points_mod_wood_elves	allegiance.png	101	allegiance.png	campaign	true
vco_hef_tyrion_force_vassalisation_wef	wh2_dlc15_unit_passive_mimic_forest_walker.png	101	wh2_dlc15_unit_passive_mimic_forest_walker.png	campaign	true
vco_ksl_drunk_tzars	wh_dlc06_unit_passive_bugmans_brew.png	101	wh_dlc06_unit_passive_bugmans_brew.png	campaign	true
vco_ksl_kat_dilemma_call_for_aid	diplomacy.png	101	diplomacy.png	campaign	true
vco_ksl_kat_dilemma_call_for_aid_unlock_artillery	wh2_dlc13_army_abilities_amber_bow_cannons.png	101	wh2_dlc13_army_abilities_amber_bow_cannons.png	campaign	true
vco_ksl_kat_dilemma_call_for_aid_unlock_slayers	waaagh_reward_dwarfs.png	101	waaagh_reward_dwarfs.png	campaign	true
vco_ksl_mot_malediction_dummy_1	vco_malediction_of_ruin.png	101	vco_malediction_of_ruin.png	campaign	true
vco_ksl_tgo_luminark_unlock_dummy	wh_dlc04_unit_passive_flagellant_deathblow.png	1	wh_dlc04_unit_passive_flagellant_deathblow.png	campaign	true
vco_lord_abilities_cathayan_concoction	vco_lustrian_concoction.png	101	vco_lustrian_concoction.png	campaign	true
vco_lord_abilities_lustrian_concoction	vco_lustrian_concoction.png	101	vco_lustrian_concoction.png	campaign	true
vco_lord_passive_withering_idol	vco_ability_withering_idol.png	101	vco_ability_withering_idol.png	campaign	true
vco_lzd_hex_dilemma	wh2_main_item_passive_sunburst_standard_of_hexoatl.png	101	wh2_main_item_passive_sunburst_standard_of_hexoatl.png	campaign	true
vco_lzd_nak_dilemma	bullet_lzd_geomantic_web.png	101	bullet_lzd_geomantic_web.png	campaign	true
vco_malagor_gor_armour	armour.png	101	armour.png	campaign	true
vco_malagor_gor_primal_instincts	wh2_main_unit_passive_primal_instincts.png	101	wh2_main_unit_passive_primal_instincts.png	campaign	true
vco_mdr_throt_ghoritch_dummy	archaon_vco.png	101	archaon_vco.png	campaign	true
vco_nor_thr_dilemma	wh3_dlc24_item_abilities_breath_of_life.png	101	wh3_dlc24_item_abilities_breath_of_life.png	campaign	true
vco_nor_thr_marauder_melee_frostbite	phase_frostbite.png	101	phase_frostbite.png	campaign	true
vco_nor_thr_troll_charge_bonus	charge.png	101	charge.png	campaign	true
vco_nor_thr_troll_leadership	morale.png	101	morale.png	campaign	true
vco_nor_thr_troll_physical_resistance	resistance_physical.png	101	resistance_physical.png	campaign	true
vco_nor_thr_troll_recruit_rank	experience.png	101	experience.png	campaign	true
vco_nor_thr_troll_recruitment_cost	treasury.png	101	treasury.png	campaign	false
vco_nor_thr_troll_speed	battle_movement.png	101	battle_movement.png	campaign	true
vco_nor_thr_troll_vigour_loss_reduction	vigour.png	101	vigour.png	campaign	false
vco_nor_thr_troll_weapon_strength	weapon_damage.png	101	weapon_damage.png	campaign	true
vco_nor_wul_enable_rampage_ability	vco_wulfrik_taunt.png	101	vco_wulfrik_taunt.png	campaign	true
vco_nor_wul_marauder_melee_poison	wh_main_unit_contact_poison.png	101	wh_main_unit_contact_poison.png	campaign	true
vco_nor_wul_marauder_spear_hunter_bonus_large	bonus_vs_large.png	101	bonus_vs_large.png	campaign	true
vco_nor_wul_marauder_spear_hunter_primal_instincts	dlc12_plaque_stage_3.png	101	dlc12_plaque_stage_3.png	campaign	true
vco_nor_wul_movement_range_post_raze_port	wh_dlc08_seafang.png	101	wh_dlc08_seafang.png	campaign	true
vco_nor_wul_units_unlock_dummy	chaos_gifts.png	101	chaos_gifts.png	campaign	true
vco_ogr_greasus_armour	armour_character.png	101	armour_character.png	campaign	true
vco_ogr_greasus_charge_bonus	charge_character.png	101	charge_character.png	campaign	true
vco_ogr_greasus_speed	battle_movement_character.png	101	battle_movement_character.png	campaign	true
vco_ogr_greasus_ward_save	resistance_ward_save.png	101	resistance_ward_save.png	campaign	true
vco_ogr_skr_gorger_armour	armour.png	101	armour.png	campaign	true
vco_ogr_skr_gorger_missile_resistance	resistance_missile.png	101	resistance_missile.png	campaign	true
vco_ogr_skr_gorger_speed	battle_movement_character.png	101	battle_movement_character.png	campaign	true
vco_repanse_peasant_physical_resistance	resistance_physical.png	101	resistance_physical.png	campaign	true
vco_repanse_peasant_weapon_strength	weapon_damage.png	101	weapon_damage.png	campaign	true
vco_skv_clan_moulder_strength	weapon_damage.png	461	weapon_damage.png	campaign	true
vco_skv_clans_impressed	attribute_causes_fear.png	101	attribute_causes_fear.png	campaign	true
vco_skv_food	pooled_resource_food.png	3	pooled_resource_food.png	campaign	true
vco_skv_ghoritch_paragon_carnage	wh3_dlc20_lord_passive_paragon_of_carnage.png	101	wh3_dlc20_lord_passive_paragon_of_carnage.png	campaign	true
vco_skv_mdr_ghoritch_missile_resistance	resistance_missile.png	101	resistance_missile.png	campaign	true
vco_skv_mdr_ghoritch_weapon_strength	weapon_damage_character.png	101	weapon_damage_character.png	campaign	true
vco_skv_melee_attack_vs_vampires	melee.png	101	melee.png	campaign	true
vco_skv_melee_defence_vs_vampires	defence.png	101	defence.png	campaign	true
vco_skv_mor_dilemma	bullet_skv_underworld.png	101	bullet_skv_underworld.png	campaign	true
vco_skv_mor_stormvermin_weapon_strength	weapon_damage.png	101	weapon_damage.png	campaign	true
vco_skv_per_turn_growth_vat	growth_juice.png	1	growth_juice.png	campaign	true
vco_skv_per_turn_mutagen	mutagen.png	101	mutagen.png	campaign	true
vco_skv_sni_dilemma	wh2_dlc14_lord_abilities_tzarkan.png	101	wh2_dlc14_lord_abilities_tzarkan.png	campaign	true
vco_skv_snikch_melee_damage_ap	armour_piercing_character.png	101	armour_piercing_character.png	campaign	true
vco_skv_tre_dilemma	wh2_skv_life_is_cheap.png	101	wh2_skv_life_is_cheap.png	campaign	true
vco_skv_ultimate_harvest_dilemma_dummy_text	wh2_dlc16_lord_passive_master_controller.png	101	wh2_dlc16_lord_passive_master_controller.png	campaign	true
vco_sla_devotees	devotees.png	101	devotees.png	campaign	true
vco_sla_nkari_weapon_strength	weapon_damage_character.png	101	weapon_damage_character.png	campaign	true
vco_throgg_thorns_aura	wh3_dlc24_lord_abilities_thorns_aura.png	101	wh3_dlc24_lord_abilities_thorns_aura.png	campaign	true
vco_throt_against_wood_elves_weapon_strength	weapon_damage.png	101	weapon_damage.png	campaign	true
vco_tmb_arkhan_allegiance_points_mod_vampire_coast	allegiance.png	101	allegiance.png	campaign	true
vco_unit_passive_everqueens_touch	vco_unit_passive_everqueens_touch.png	101	vco_unit_passive_everqueens_touch.png	campaign	true
vco_vil_altars_upgraded	wh2_dlc12_unit_abilities_burning_alignment.png	101	wh2_dlc12_unit_abilities_burning_alignment.png	campaign	true
vco_vil_arch_rampage	wh_dlc08_nor_unit_abilities_berserk.png	101	wh_dlc08_nor_unit_abilities_berserk.png	campaign	true
vco_vil_arch_weapon_strength	weapon_damage_character.png	101	weapon_damage_character.png	campaign	true
vco_vmp_hel_dilemma	vco_purple_hand.png	101	vco_purple_hand.png	campaign	true
vco_vmp_kem_melee_defence	defence.png	101	defence.png	campaign	true
vco_vmp_kem_missile_resistance	resistance_missile.png	101	resistance_missile.png	campaign	true
vco_vmp_man_dilemma_soulgate	souls.png	101	souls.png	campaign	true
vco_vmp_man_ward_save	resistance_ward_save.png	101	resistance_ward_save.png	campaign	true
vco_vmp_man_weapon_strength	weapon_damage_character.png	101	weapon_damage_character.png	campaign	true
vco_vmp_vla_dilemma	wh_main_item_passive_the_great_book_of_grudges.png	101	wh_main_item_passive_the_great_book_of_grudges.png	campaign	true
vco_wh3_main_army_abilities_fozzriks_flensing_discharge	general_ability.png	101	general_ability.png	campaign	true
vco_wh3_main_army_abilities_fozzriks_verdant_burst	general_ability.png	101	general_ability.png	campaign	true
vco_wh3_main_army_abilities_storm_of_fire	general_ability.png	101	general_ability.png	campaign	true
vco_zhatan_black_orcs_dummy	wh2_dlc15_lord_passive_best_of_da_best.png	101	wh2_dlc15_lord_passive_best_of_da_best.png	campaign	true
