key	uniform	x_offset	y_offset	character_image	prelude_battle	video	loading_screen_image	loading_screen_intro_video	override_force_location_x	override_force_location_y	voiceover	show_full_intro_option	difficulty	startpos_map	agent_subtype_record	faction
#frontend_faction_leaders_tables;1;db/frontend_faction_leaders_tables/!vco																
wh2_dlc09_political_party_skv_tretch_craventail	composite_scene\lord_selection\skaven\tretch_craventail.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\skv_tretch_craventail_0.png		Front_end_selection_movies/skv_tretch	ui/loading_ui/load_images/campaign_skaven1.png		-1.0000	-1.0000	wh2_dlc09_vo_actor_Skaven_Tretch_Craventail	false	easy	wh2_dlc09_political_party_skv_tretch_craventail	wh2_dlc09_skv_tretch_craventail	wh2_dlc09_skv_clan_rictus
wh2_dlc09_political_party_tmb_arkhan	composite_scene\lord_selection\tomb_kings\arkhan_the_black.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\tmb_ch_arkhan_0.png		Front_end_selection_movies/tmb_arkhan	ui/loading_ui/load_images/campaign_tomb_kings1.png		-1.0000	-1.0000	wh2_dlc09_vo_actor_Tomb_Kings_Arkhan	false	easy	wh2_dlc09_political_party_tmb_arkhan	wh2_dlc09_tmb_arkhan	wh2_dlc09_tmb_followers_of_nagash
wh2_dlc09_political_party_tmb_khalida	composite_scene\lord_selection\tomb_kings\high_queen_khalida.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\tmb_ch_khalida_campaign_0.png		Front_end_selection_movies/tmb_khalida	ui/loading_ui/load_images/campaign_tomb_kings1.png		-1.0000	-1.0000	wh2_dlc09_vo_actor_Tomb_Kings_High_Queen_Khalida	false		wh2_dlc09_political_party_tmb_khalida	wh2_dlc09_tmb_khalida	wh2_dlc09_tmb_lybaras
wh2_dlc09_political_party_tmb_khatep	composite_scene\lord_selection\tomb_kings\grand_hierophant_khatep.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\tmb_ch_khatep_0.png		Front_end_selection_movies/tmb_khatep	ui/loading_ui/load_images/campaign_tomb_kings1.png		-1.0000	-1.0000	wh2_dlc09_vo_actor_Tomb_Kings_Khatep	false		wh2_dlc09_political_party_tmb_khatep	wh2_dlc09_tmb_khatep	wh2_dlc09_tmb_exiles_of_nehek
wh2_dlc09_political_party_tmb_settra	composite_scene\lord_selection\tomb_kings\settra_the_imperishable.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\tmb_ch_settra_0.png		Front_end_selection_movies/tmb_settra	ui/loading_ui/load_images/campaign_tomb_kings1.png		-1.0000	-1.0000	wh2_dlc09_vo_actor_Tomb_Kings_Settra_the_Imperishable	false		wh2_dlc09_political_party_tmb_settra	wh2_dlc09_tmb_settra	wh2_dlc09_tmb_khemri
wh2_dlc10_political_party_def_hellebron	composite_scene\lord_selection\dark_elves\crone_hellebron.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\def_crone_0.png		Front_end_selection_movies/def_crone	ui/loading_ui/load_images/campaign_dark_elves1.png		-1.0000	-1.0000	wh2_dlc10_vo_actor_Dark_Elves_Crone_Hellebron	false	easy	wh2_dlc10_political_party_def_hellebron	wh2_dlc10_def_crone_hellebron	wh2_main_def_har_ganeth
wh2_dlc10_political_party_hef_alarielle	composite_scene\lord_selection\high_elves\alarielle.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\hef_alarielle_campaign_0.png		Front_end_selection_movies/hef_alarielle	ui/loading_ui/load_images/campaign_high_elves1.png		-1.0000	-1.0000	wh2_dlc10_vo_actor_High_Elves_Arielle_the_Radiant	false	easy	wh2_dlc10_political_party_hef_alarielle	wh2_dlc10_hef_alarielle	wh2_main_hef_avelorn
wh2_dlc10_political_party_hef_alith_anar	composite_scene\lord_selection\high_elves\alith_anar.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\hef_alith_anar_0.png		Front_end_selection_movies/hef_alith_anar	ui/loading_ui/load_images/campaign_high_elves1.png		-1.0000	-1.0000	wh2_dlc10_vo_actor_High_Elves_Alith_Anar	false	easy	wh2_dlc10_political_party_hef_alith_anar	wh2_dlc10_hef_alith_anar	wh2_main_hef_nagarythe
wh2_dlc11_political_party_cst_noctilus_ruler	composite_scene\lord_selection\vampire_coast\count_noctilus.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\cst_cha_count_noctilus_0.png		Front_end_selection_movies/cst_count_noctilus	ui/loading_ui/load_images/campaign_vampire_coast1.png		-1.0000	-1.0000	wh2_dlc11_vo_actor_VampireCoast_Count_Noctuilus	false		wh2_dlc11_political_party_cst_noctilus_ruler	wh2_dlc11_cst_noctilus	wh2_dlc11_cst_noctilus
