unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	unique_index	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;6;db/main_units_tables/vco																																													
vco_wh2_dlc10_dwf_inf_giant_slayers		-1	melee_infantry	2	false	vco_wh2_dlc10_dwf_inf_giant_slayers	80	0	1200	wh_main_shp_transport	1	1	80	1200	300	light		0	999990102	true	wh_main_vo_culture_Dwarf	infantry_axe_great	3	false	dwf_warrior_30_degrees		false		1200.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Unique	0	true	false	6	false	false		0.0000	true	1	false
vco_wh2_dlc11_cst_cav_knights_errant_2		-1	melee_cavalry	1	false	vco_wh2_dlc11_cst_cav_knights_errant_2	75	0	0	wh_main_shp_transport	1	1	75	1100	175	very_heavy		0	999990105	true	wh2_dlc11_vo_culture_Vampire_Coast	shock_cavalry	3	false	emp_reiksguard		false		550.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_VampireCoast_Damned_Knight	0	true	false	6	false	false		0.0000	true	1	false
vco_wh2_dlc11_cst_cav_knights_of_the_realm		-1	melee_cavalry	1	false	vco_wh2_dlc11_cst_cav_knights_of_the_realm	75	0	950	wh_main_shp_transport	1	1	75	1300	238	heavy		0	999990106	true	wh2_dlc11_vo_culture_Vampire_Coast	shock_cavalry	3	false	emp_reiksguard		false		950.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_VampireCoast_Damned_Knight	0	true	false	6	false	false		0.0000	true	1	false
vco_wh2_dlc11_cst_cav_questing_knights_0		-1	melee_cavalry	1	false	vco_wh2_dlc11_cst_cav_questing_knights_0	75	0	1100	wh_main_shp_transport	1	1	75	1400	275	very_heavy		0	999990107	true	wh2_dlc11_vo_culture_Vampire_Coast	cavalry	3	false	emp_reiksguard		false		1100.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_VampireCoast_Damned_Knight	0	true	false	6	false	false		0.0000	true	1	false
vco_wh_dlc04_emp_inf_flagellants_0		-1	melee_infantry	1	false	vco_wh_dlc04_emp_inf_flagellants_0	120	0	600	wh_main_shp_transport	1	1	120	600	150	medium		0	999990100	true	wh_main_vo_culture_Empire	wh_dlc04_emp_flagelllents	2	false	emp_soldier_15_degrees		false		600.0000	0.0000	false	vo_culture_None	false	wh_dlc04_vo_actor_Empire_Inf	0	true	false	6	false	false		0.0000	true	1	false
vco_wh_main_chs_cha_archaon_the_everchosen_0		-1	lord	1	false	vco_wh_main_chs_cha_archaon_the_everchosen_0	1	0	1450	wh_main_shp_transport	1	1	1	2000	350	heavy		0	999990108	false	wh_main_vo_culture_Chaos	lord_wizard_mixed	0	true	chs_archaon		true		1450.0000	0.0000	true	vo_culture_None	true	wh_dlc01_vo_actor_Chaos_ArchaonTheEverchosen	0	true	false	0	false	false		0.0000	false	1	false
vco_wh_main_chs_cha_archaon_the_everchosen_1		-1	lord	1	false	vco_wh_main_chs_cha_archaon_the_everchosen_1	1	0	1850	wh_main_shp_transport	1	1	1	2500	450	heavy		0	999990109	false	wh_main_vo_culture_Chaos	lord_wizard_mixed	0	true	chs_archaon	wh_main_cam_mnt_chs_dorghar	true		1850.0000	0.0000	true	vo_culture_None	true	wh_dlc01_vo_actor_Chaos_ArchaonTheEverchosen	0	true	false	0	false	false		0.0000	false	1	false
vco_wh_main_dwf_inf_slayers		-1	melee_infantry	1	false	vco_wh_main_dwf_inf_slayers	80	0	900	wh_main_shp_transport	1	1	80	900	225	light		0	999990101	true	wh_main_vo_culture_Dwarf	infantry_axe	2	false	dwf_warrior_30_degrees		false		900.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Unique	0	true	false	6	false	false		0.0000	true	1	false
vco_wh_main_emp_art_great_cannon		-1	warmachine	1	false	vco_wh_main_emp_art_great_cannon	44	0	800	wh_main_shp_transport	1	1	44	800	200	medium		0	999990104	true	wh_main_vo_culture_Empire	cannon	2	false	emp_soldier_15_degrees		false		80.0000	720.0000	true	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	false
vco_wh_main_emp_art_mortar		-1	warmachine	1	false	vco_wh_main_emp_art_mortar	44	0	650	wh_main_shp_transport	1	1	44	650	163	medium		0	999990103	true	wh_main_vo_culture_Empire	cannon	2	false	emp_art_mortar		false		60.0000	590.0000	true	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	false
vco_wh_main_grn_cha_grimgor_ironbound		-1	hero	1	false	vco_wh_main_grn_cha_grimgor_ironbound	1	0	1400	wh_main_shp_transport	1	1	12	1250	300	heavy		0	999990111	false	wh_main_vo_culture_Orc	hero_infantry_axe	0	true	grn_warboss		true		1400.0000	0.0000	true	vo_culture_None	true	wh_main_vo_actor_Orc_GrimgorIronhide	0	true	false	0	false	false		0.0000	false	1	false
vco_wh_main_grn_inf_black_orcs		-1	melee_infantry	2	false	vco_wh_main_grn_inf_black_orcs	80	0	1150	wh_main_shp_transport	1	1	100	1150	288	heavy		0	999990110	true	wh_main_vo_culture_Orc	infantry_axe_great	3	false	grn_orc_0_degrees		false		1150.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Orc_Infantry	0	true	false	6	false	false		0.0000	true	1	false
