key	group	initial_unit_count	pool	faction_requirement	subculture_requirement	tech_requirement
#mercenary_pool_to_groups_junctions_tables;1;db/mercenary_pool_to_groups_junctions_tables/vco						
321898465	vco_wh_dlc04_emp_inf_flagellants_0	1	wh3_main_ksl_units_of_renown_pool		wh3_main_sc_ksl_kislev	
321898466	vco_wh_main_dwf_inf_slayers	1	wh3_main_ksl_units_of_renown_pool		wh3_main_sc_ksl_kislev	
321898467	vco_wh2_dlc10_dwf_inf_giant_slayers	1	wh3_main_ksl_units_of_renown_pool		wh3_main_sc_ksl_kislev	
321898468	vco_wh_main_emp_art_mortar	1	wh3_main_ksl_units_of_renown_pool		wh3_main_sc_ksl_kislev	
321898469	vco_wh_main_emp_art_great_cannon	1	wh3_main_ksl_units_of_renown_pool		wh3_main_sc_ksl_kislev	
321898470	vco_wh2_dlc11_cst_cav_knights_errant_2	1	wh2_dlc11_cst_units_of_renown_pool		wh2_dlc11_sc_cst_vampire_coast	
321898471	vco_wh2_dlc11_cst_cav_knights_of_the_realm	1	wh2_dlc11_cst_units_of_renown_pool		wh2_dlc11_sc_cst_vampire_coast	
321898472	vco_wh2_dlc11_cst_cav_questing_knights_0	1	wh2_dlc11_cst_units_of_renown_pool		wh2_dlc11_sc_cst_vampire_coast	
321898473	vco_wh_main_grn_inf_black_orcs	1	wh2_dlc11_cst_units_of_renown_pool		wh3_dlc23_sc_chd_chaos_dwarfs	
