chain	chain_set	slot_template	super_chain	remove
#slot_template_permitted_building_chains_tables;0;db/slot_template_permitted_building_chains_tables/vco				
		wh2_dlc10_special_gaean_vale_secondary	vco_landmark_mazdamundi_geomantic_nexus	false
		wh2_dlc15_special_morgheim_secondary	vco_landmark_fozzriks_flying_fastness	false
		wh2_dlc16_gryphon_wood_secondary	vco_landmark_karl_franz_lumber_yard	false
		wh2_dlc16_sacred_pools_secondary	vco_landmark_wulfhart_lumber_yard	false
		wh2_dlc16_witchwood_secondary	vco_landmark_mazdamundi_geomantic_nexus	false
		wh2_main_special_def_vauls_anvil_secondary	vco_landmark_grombrindal_vauls_anvil	false
		wh2_main_special_def_vauls_anvil_secondary	vco_landmark_sisters_twilight_vauls_anvil_naggaroth	false
		wh2_main_special_galleons_graveyard_secondary	vco_landmark_skrag_great_maw_2	false
		wh2_main_special_hef_vauls_anvil_secondary	vco_landmark_grombrindal_vauls_anvil_caledor	false
		wh2_main_special_hef_vauls_anvil_secondary	vco_landmark_sisters_twilight_vauls_anvil_caledor	false
		wh2_main_special_hexoatl_secondary	vco_landmark_imrik_blessed_incubator	false
		wh2_main_special_karond_kar_secondary	vco_landmark_grombrindal_repurposed_docks	false
		wh2_main_special_khemri_secondary	vco_landmark_mazdamundi_geomantic_nexus	false
		wh2_main_special_lothern_secondary	vco_landmark_mazdamundi_geomantic_nexus	false
		wh2_main_special_naggarond_secondary	vco_landmark_grombrindal_shattered_malekith_tower	false
		wh2_main_special_naggarond_secondary	vco_landmark_mazdamundi_geomantic_nexus	false
		wh2_main_special_sartosa_secondary	vco_landmark_mazdamundi_geomantic_nexus	false
		wh2_main_special_skavenblight_secondary	vco_landmark_mazdamundi_geomantic_nexus	false
		wh2_main_special_skavenblight_secondary	vco_landmark_zhao_warpforges	false
		wh2_main_special_the_awakening_secondary	vco_landmark_wulfhart_imperial_dockyard	false
		wh2_main_special_tlaxtlan_secondary	vco_landmark_markus_trophy_hall	false
		wh3_dlc20_special_zharr_naggrund_secondary_obsidian	vco_landmark_mazdamundi_geomantic_nexus	false
		wh3_main_combi_the_haunted_forest_secondary	vco_landmark_imrik_asrai_enclave	false
		wh3_main_kislev_city_secondary	vco_landmark_mazdamundi_geomantic_nexus	false
		wh3_main_special_fire_mouth_secondary_furs	vco_landmark_mazdamundi_geomantic_nexus	false
		wh3_main_special_mordheim_secondary	vco_landmark_zhao_sigmars_rock	false
		wh3_main_special_tower_of_gorgoth_secondary	vco_landmark_tretch_tower_gorgoth	false
		wh3_main_special_wei_jin_secondary_spices	vco_landmark_mazdamundi_geomantic_nexus	false
		wh_main_special_altdorf_secondary	vco_landmark_kostaltyn_great_orthodoxy_cathedral	false
		wh_main_special_altdorf_secondary	vco_landmark_mazdamundi_geomantic_nexus	false
		wh_main_special_black_crag_secondary	vco_landmark_mazdamundi_geomantic_nexus	false
		wh_main_special_castle_drakenhof_secondary	vco_landmark_karl_franz_cleansing_pyres	false
		wh_main_special_castle_drakenhof_secondary	vco_landmark_kostaltyn_dazhs_everburning_pyres	false
		wh_main_special_castle_drakenhof_secondary	vco_landmark_mazdamundi_geomantic_nexus	false
		wh_main_special_couronne_secondary	vco_landmark_kemmler_couronne_corpse_king	false
		wh_main_special_couronne_secondary	vco_landmark_mazdamundi_geomantic_nexus	false
		wh_main_special_couronne_secondary	vco_landmark_skrag_couronne_cook_pot	false
		wh_main_special_karaz_a_karak_secondary	vco_landmark_mazdamundi_geomantic_nexus	false
		wh_main_special_marienburg_secondary	vco_landmark_karl_franz_marienburg_tax_house	false
		wh_main_special_marienburg_secondary	vco_landmark_kostaltyn_halls_of_atonement	false
		wh_main_special_middenheim_secondary	vco_landmark_kostaltyn_sacred_flame_ulric	false
		wh_main_special_vauls_anvil_secondary	vco_landmark_grombrindal_vauls_anvil_athel_loren	false
		wh_main_special_waterfall_palace_secondary	vco_landmark_kemmler_treeman_graveyard	false
