bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/vco	
damage_dealer	vco_wh_dlc04_emp_inf_flagellants_0
frenzy	vco_wh_dlc04_emp_inf_flagellants_0
unbreakable	vco_wh_dlc04_emp_inf_flagellants_0
anti_large	vco_wh_main_dwf_inf_slayers
deathblow	vco_wh_main_dwf_inf_slayers
fast_dwarf	vco_wh_main_dwf_inf_slayers
whirling_axes	vco_wh_main_dwf_inf_slayers
anti_large	vco_wh2_dlc10_dwf_inf_giant_slayers
armour_piercing	vco_wh2_dlc10_dwf_inf_giant_slayers
deathblow	vco_wh2_dlc10_dwf_inf_giant_slayers
fast_dwarf	vco_wh2_dlc10_dwf_inf_giant_slayers
anti_infantry	vco_wh_main_emp_art_mortar
anti_large	vco_wh_main_emp_art_great_cannon
armour_piercing_ranged	vco_wh_main_emp_art_great_cannon
good_range	vco_wh_main_emp_art_great_cannon
anti_infantry	vco_wh2_dlc11_cst_cav_knights_errant_2
ethereal	vco_wh2_dlc11_cst_cav_knights_errant_2
shielded	vco_wh2_dlc11_cst_cav_knights_errant_2
anti_large	vco_wh2_dlc11_cst_cav_knights_of_the_realm
ethereal	vco_wh2_dlc11_cst_cav_knights_of_the_realm
shielded	vco_wh2_dlc11_cst_cav_knights_of_the_realm
anti_infantry	vco_wh2_dlc11_cst_cav_questing_knights_0
armour_piercing	vco_wh2_dlc11_cst_cav_questing_knights_0
ethereal	vco_wh2_dlc11_cst_cav_questing_knights_0
armour_piercing	vco_wh_main_chs_cha_archaon_the_everchosen_0
armoured_and_shielded	vco_wh_main_chs_cha_archaon_the_everchosen_0
melee_expert	vco_wh_main_chs_cha_archaon_the_everchosen_0
spellcaster	vco_wh_main_chs_cha_archaon_the_everchosen_0
armour_piercing	vco_wh_main_chs_cha_archaon_the_everchosen_1
armoured_and_shielded	vco_wh_main_chs_cha_archaon_the_everchosen_1
melee_expert	vco_wh_main_chs_cha_archaon_the_everchosen_1
spellcaster	vco_wh_main_chs_cha_archaon_the_everchosen_1
