unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/vco					
			wh_dlc07_brt_cha_alberic_bordeleaux_0	vco_brt_alberic	false
			wh_dlc07_brt_cha_alberic_bordeleaux_1	vco_brt_alberic	false
			wh_dlc07_brt_cha_alberic_bordeleaux_2	vco_brt_alberic	false
			wh_dlc07_brt_cha_alberic_bordeleaux_3	vco_brt_alberic	false
			wh2_dlc11_cst_cha_aranessa_0	vco_cst_ara	false
			wh2_dlc11_cst_cha_aranessa_1	vco_cst_ara	false
			wh2_dlc11_cst_inf_deck_gunners_0	vco_cst_deck_gunners	false
			wh2_dlc11_cst_inf_deck_gunners_ror_0	vco_cst_deck_gunners	false
			wh2_dlc11_cst_mon_rotting_leviathan_0	vco_cst_rotting	false
			wh2_dlc11_cst_mon_rotting_prometheans_0	vco_cst_rotting	false
			wh2_dlc11_cst_mon_rotting_prometheans_gunnery_mob_0	vco_cst_rotting	false
			wh2_dlc11_cst_mon_rotting_prometheans_gunnery_mob_ror	vco_cst_rotting	false
			wh2_dlc11_cst_mon_rotting_prometheans_summoned_0	vco_cst_rotting	false
			wh3_main_cth_veh_war_compass_0	vco_cth_war_compass	false
			wh2_main_def_cha_morathi_0	vco_def_morathi	false
			wh2_main_def_cha_morathi_1	vco_def_morathi	false
			wh3_main_ksl_inf_tzar_guard_0	vco_ksl_tzar_guard	false
			wh3_main_ksl_inf_tzar_guard_1	vco_ksl_tzar_guard	false
			wh_dlc08_nor_inf_marauder_hunters_0	vco_nor_marauder_hunters_spears	false
			wh_dlc08_nor_inf_marauder_hunters_1	vco_nor_marauder_hunters_spears	false
			wh_dlc08_nor_inf_marauder_spearman_0	vco_nor_marauder_hunters_spears	false
			wh_dlc08_nor_inf_marauder_berserkers_0	vco_nor_melee_marauders	false
			wh_dlc08_nor_inf_marauder_champions_0	vco_nor_melee_marauders	false
			wh_dlc08_nor_inf_marauder_champions_1	vco_nor_melee_marauders	false
			wh_main_nor_inf_chaos_marauders_0	vco_nor_melee_marauders	false
			wh_main_nor_inf_chaos_marauders_1	vco_nor_melee_marauders	false
			wh_pro04_nor_inf_chaos_marauders_ror_0	vco_nor_melee_marauders	false
			wh_pro04_nor_inf_marauder_berserkers_ror_0	vco_nor_melee_marauders	false
			wh_dlc08_nor_cha_wulfrik_0	vco_nor_wulfrik	false
			wh_dlc08_nor_cha_wulfrik_1	vco_nor_wulfrik	false
			wh_dlc08_nor_cha_wulfrik_2	vco_nor_wulfrik	false
			wh_dlc08_nor_cha_wulfrik_3	vco_nor_wulfrik	false
			wh3_main_ogr_cha_greasus_goldtooth_0	vco_ogr_greasus	false
			wh2_main_skv_cha_assassin	vco_skv_assassins	false
			wh3_main_sla_cha_nkari_0	vco_sla_nkari	false
			wh2_dlc11_vmp_cha_heinrich_kemmler_1	vco_vmp_kem	false
			wh_main_vmp_cha_heinrich_kemmler	vco_vmp_kem	false
			wh_main_vmp_cha_mannfred_von_carstein_0	vco_vmp_man	false
			wh_main_vmp_cha_mannfred_von_carstein_2	vco_vmp_man	false
			wh_main_vmp_cha_mannfred_von_carstein_3	vco_vmp_man	false
			wh_main_vmp_cha_mannfred_von_carstein_4	vco_vmp_man	false
			vco_wh_main_chs_cha_archaon_the_everchosen_0	vco_chs_arch	false
			vco_wh_main_chs_cha_archaon_the_everchosen_1	vco_chs_arch	false
			wh3_main_ogr_mon_gorgers_0	vco_ogr_gorgers	false
			wh3_main_ogr_mon_gorgers_summoned_0	vco_ogr_gorgers	false
			wh2_dlc15_hef_mon_black_dragon_imrik	vco_hef_dragons	false
			wh2_dlc15_hef_mon_forest_dragon_imrik	vco_hef_dragons	false
			wh2_dlc15_hef_mon_moon_dragon_imrik	vco_hef_dragons	false
			wh2_dlc15_hef_mon_star_dragon_imrik	vco_hef_dragons	false
			wh2_dlc15_hef_mon_sun_dragon_imrik	vco_hef_dragons	false
			wh2_dlc15_hef_mon_forest_dragon_0	vco_hef_dragons	false
			wh2_main_hef_mon_moon_dragon	vco_hef_dragons	false
