faction	unit	name	variant	unit_card
#unit_variants_tables;5;db/unit_variants_tables/vco				
	vco_wh_dlc04_emp_inf_flagellants_0	vco_wh_dlc04_emp_inf_flagellants_0	wh_dlc04_emp_flagellants	vco_wh_dlc04_emp_flagellants
	vco_wh_main_dwf_inf_slayers	vco_wh_main_dwf_inf_slayers	wh_dwf_slayers	vco_wh_dwf_slayers
	vco_wh2_dlc10_dwf_inf_giant_slayers	vco_wh2_dlc10_dwf_inf_giant_slayers	wh2_dlc10_dwf_giant_slayers	vco_wh2_dlc10_dwf_giant_slayers
	vco_wh_main_emp_art_mortar	vco_wh_main_emp_art_mortar	wh_emp_artillery_crew	vco_wh_main_emp_art_mortar
	vco_wh_main_emp_art_great_cannon	vco_wh_main_emp_art_great_cannon	wh_emp_artillery_crew	vco_wh_main_emp_art_great_cannon
	vco_wh2_dlc11_cst_cav_knights_errant_2	vco_wh2_dlc11_cst_cav_knights_errant_2	wh2_dlc11_cst_damned_knights_errant	vco_wh2_dlc11_cst_damned_knights_errant
	vco_wh2_dlc11_cst_cav_knights_of_the_realm	vco_wh2_dlc11_cst_cav_knights_of_the_realm	wh2_dlc11_cst_damned_knights_of_the_realm	vco_wh2_dlc11_cst_damned_knights_of_the_realm
	vco_wh2_dlc11_cst_cav_questing_knights_0	vco_wh2_dlc11_cst_cav_questing_knights_0	wh2_dlc11_cst_damned_questing_knight	vco_wh2_dlc11_cst_damned_questing_knight
	vco_wh_main_chs_cha_archaon_the_everchosen_0	vco_wh_main_chs_cha_archaon_the_everchosen_0	wh_chs_ch_archaon	vco_wh_main_chs_archaon
	vco_wh_main_chs_cha_archaon_the_everchosen_1	vco_wh_main_chs_cha_archaon_the_everchosen_1	wh_chs_ch_archaon	vco_wh_main_chs_archaon
