unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/vco	
vco_wh2_dlc10_dwf_inf_giant_slayers	wh3_main_ksl
vco_wh2_dlc11_cst_cav_knights_errant_2	wh2_dlc11_group_vampire_coast
vco_wh2_dlc11_cst_cav_knights_of_the_realm	wh2_dlc11_group_vampire_coast
vco_wh2_dlc11_cst_cav_questing_knights_0	wh2_dlc11_group_vampire_coast
vco_wh_dlc04_emp_inf_flagellants_0	wh3_main_ksl
vco_wh_main_chs_cha_archaon_the_everchosen_0	wh3_dlc20_group_chs_vilitch
vco_wh_main_chs_cha_archaon_the_everchosen_1	wh3_dlc20_group_chs_vilitch
vco_wh_main_dwf_inf_slayers	wh3_main_ksl
vco_wh_main_emp_art_great_cannon	wh3_main_ksl
vco_wh_main_emp_art_mortar	wh3_main_ksl
vco_wh_main_grn_cha_grimgor_ironbound	wh3_dlc23_group_chaos_dwarfs
vco_wh_main_grn_inf_black_orcs	wh3_dlc23_group_chaos_dwarfs
wh2_dlc15_hef_mon_forest_dragon_0	wh2_main_hef
wh3_main_kho_inf_bloodletters_0	wh_main_group_norsca
wh3_main_kho_inf_bloodletters_1	wh_main_group_norsca
wh3_main_nur_inf_plaguebearers_0	wh_main_group_norsca
wh3_main_nur_inf_plaguebearers_1	wh_main_group_norsca
wh3_main_sla_inf_daemonette_0	wh_main_group_norsca
wh3_main_sla_inf_daemonette_1	wh_main_group_norsca
wh3_main_sla_mon_fiends_of_slaanesh_0	wh3_main_def_morathi
wh3_main_sla_mon_keeper_of_secrets_0	wh3_main_def_morathi
wh3_main_tze_inf_pink_horrors_0	wh_main_group_norsca
wh3_main_tze_inf_pink_horrors_1	wh_main_group_norsca
wh_dlc05_wef_cha_spellsinger_beasts_3	wh2_main_hef
wh_dlc05_wef_cha_spellsinger_life_3	wh2_main_hef
wh_dlc05_wef_cha_spellsinger_shadows_3	wh2_main_hef
wh_dlc05_wef_inf_glade_guard_2	wh2_main_hef
