unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/vco	
wh3_main_kho_inf_bloodletters_0	wh_main_group_norsca
wh3_main_kho_inf_bloodletters_1	wh_main_group_norsca
wh3_main_nur_inf_plaguebearers_0	wh_main_group_norsca
wh3_main_nur_inf_plaguebearers_1	wh_main_group_norsca
wh3_main_sla_inf_daemonette_0	wh_main_group_norsca
wh3_main_sla_inf_daemonette_1	wh_main_group_norsca
wh3_main_sla_mon_fiends_of_slaanesh_0	wh3_main_def_morathi
wh3_main_sla_mon_keeper_of_secrets_0	wh3_main_def_morathi
wh3_main_tze_inf_pink_horrors_0	wh_main_group_norsca
wh3_main_tze_inf_pink_horrors_1	wh_main_group_norsca
wh_main_emp_veh_luminark_of_hysh_0	wh3_main_ksl
