key	text	tooltip
#Loc PackedFile;1;text/db/vco_mission_text.loc		
mission_text_text_vco_brt_bdx_1_alberic_vow	Complete the [[url:#]]Grail Vow[[/url]] with [[url:#]]Alberic de Bordeleaux[[/url]].	true
mission_text_text_vco_brt_bdx_1_sacred_pools	Seek out the [[url:#]]Lady of the Lake[[/url]] in the heart of Lustria. Occupy the following region:	true
mission_text_text_vco_brt_bdx_2_no_ocean_for_dead_men	<dummy>"Manann is our blessing, our patron, the one that brings food to our table. He’s also the one that drags our foes to the bottom of his watery home, the bringer of storms and crushing waves. He is the Sea and he is eternal."	true
mission_text_text_vco_brt_bdx_3_home_sweet_home	Return home to your ancestral castle and drive out the foes who have been terrorising the peasants in your absence.\\n\\nMaintain control of the following settlement either by direct ownership or through [[img:icon_vassal]][[/img]]vassals and [[img:icon_military_alliance]][[/img]]military allies:	true
mission_text_text_vco_common_nagash_books_collected	Collect all the [[url:#]]Books of Nagash[[/url]]. 	true
mission_text_text_vco_common_nagash_books_collected_0	Collect all the [[url:#]]Books of Nagash[[/url]].\\n(Current: 0) 	true
mission_text_text_vco_common_nagash_books_collected_1	Collect all the [[url:#]]Books of Nagash[[/url]].\\n(Current: 1) 	true
mission_text_text_vco_common_nagash_books_collected_2	Collect all the [[url:#]]Books of Nagash[[/url]].\\n(Current: 2) 	true
mission_text_text_vco_common_nagash_books_collected_3	Collect all the [[url:#]]Books of Nagash[[/url]].\\n(Current: 3) 	true
mission_text_text_vco_common_nagash_books_collected_4	Collect all the [[url:#]]Books of Nagash[[/url]].\\n(Current: 4) 	true
mission_text_text_vco_common_nagash_books_collected_5	Collect all the [[url:#]]Books of Nagash[[/url]].\\n(Current: 5) 	true
mission_text_text_vco_common_nagash_books_collected_6	Collect all the [[url:#]]Books of Nagash[[/url]].\\n(Current: 6) 	true
mission_text_text_vco_common_nagash_books_collected_7	Collect all the [[url:#]]Books of Nagash[[/url]].\\n(Current: 7) 	true
mission_text_text_vco_common_nagash_books_collected_8	Collect all the [[url:#]]Books of Nagash[[/url]].\\n(Current: 8) 	true
mission_text_text_vco_cst_sar_1_captain_of_the_swordfysh	<dummy>Commander of the Swordfysh, a mighty galleon crewed by hundreds, Aranessa and her crew prefer boarding actions to thundering broadsides. The ship roves the Tilean Sea and beyond, raiding and pillaging any who cross her path. Make them all fear the crossed tridents upon her sails.	true
mission_text_text_vco_cst_sar_2_daughter_of_manann	<dummy>Rumour has it that saltwater flows through her veins instead of blood. That she rose fully grown from the waves in a froth of gore. The truth, unknown to most, is not so magnificent - Aranessa was born a mutant in Skjold and thrown into the sea by her own Norscan tribe. Her crews and victims alike believe Manann, Lord of the Seas, watches over her, and the seas rage as the Swordfysh sails into the wealthiest ports.\\n	true
mission_text_text_vco_cst_sar_3_dead_man_s_vengeance	<dummy>"Sartosa burned and we fled, but a mighty vengeance was born in us that day. Your death did not dull my spirit. You'll have your vengeance, Jaego. I'll see it done."	true
mission_text_text_vco_cth_the_northern_expedition	Your sister Shen-Zoo, Dragon of Light, was last seen venturing beyond the mountains of Norsca, in The Writhing Fortress. Organise an expedition, conquer the fortress and bring her back.	true
mission_text_text_vco_cth_the_western_provinces_caravans	Complete the [[url:#]]Ivory Road[[/url]] with at least 9 caravans.	true
mission_text_text_vco_cth_the_western_provinces_caravans_0	Complete the [[url:#]]Ivory Road[[/url]] with at least 9 caravans.\\n(Current: 0)	true
mission_text_text_vco_cth_the_western_provinces_caravans_1	Complete the [[url:#]]Ivory Road[[/url]] with at least 9 caravans.\\n(Current: 1)	true
mission_text_text_vco_cth_the_western_provinces_caravans_2	Complete the [[url:#]]Ivory Road[[/url]] with at least 9 caravans.\\n(Current: 2)	true
mission_text_text_vco_cth_the_western_provinces_caravans_3	Complete the [[url:#]]Ivory Road[[/url]] with at least 9 caravans.\\n(Current: 3)	true
mission_text_text_vco_cth_the_western_provinces_caravans_4	Complete the [[url:#]]Ivory Road[[/url]] with at least 9 caravans.\\n(Current: 4)	true
mission_text_text_vco_cth_the_western_provinces_caravans_5	Complete the [[url:#]]Ivory Road[[/url]] with at least 9 caravans.\\n(Current: 5)	true
mission_text_text_vco_cth_the_western_provinces_caravans_6	Complete the [[url:#]]Ivory Road[[/url]] with at least 9 caravans.\\n(Current: 6)	true
mission_text_text_vco_cth_the_western_provinces_caravans_7	Complete the [[url:#]]Ivory Road[[/url]] with at least 9 caravans.\\n(Current: 7)	true
mission_text_text_vco_cth_the_western_provinces_caravans_8	Complete the [[url:#]]Ivory Road[[/url]] with at least 9 caravans.\\n(Current: 8)	true
mission_text_text_vco_cth_the_western_provinces_goods	Trade a minimum of [[img:icon_caravan_cargo]][[/img]]13140 goods with the west.	true
