key	text	tooltip
#Loc;1;text/db/vco_cdir_events_dilemma_choice_details.loc		
cdir_events_dilemma_choice_details_localised_choice_label_vco_brt_alb_dilemma_mananns_favourFIRST	Pray for Storms	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_brt_alb_dilemma_mananns_favourSECOND	Pray for Calm Seas	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_chs_arc_dilemma_slayer_kingsFIRST	Free the Daemon	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_chs_arc_dilemma_slayer_kingsSECOND	Deny the Daemon	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_cth_miao_dilemma_sister_rescuedFIRST	Counsel Temperance	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_cth_miao_dilemma_sister_rescuedSECOND	Counsel Vengeance	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_dwf_gro_dilemma_elvesFIRST	Forgive the Elves	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_dwf_gro_dilemma_elvesSECOND	Condemn the Elves	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_ksl_kat_dilemma_call_for_aidFIRST	Petition the Bretonnians	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_ksl_kat_dilemma_call_for_aidFOURTH	Petition the High Elves	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_ksl_kat_dilemma_call_for_aidSECOND	Petition the Dwarfs	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_ksl_kat_dilemma_call_for_aidTHIRD	Petition the Empire	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_skv_mdr_dilemma_ultimate_harvestFIRST	Devour the Godflesh	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_skv_mdr_dilemma_ultimate_harvestSECOND	Trade the Godflesh	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_vmp_man_dilemma_ossified_portalFIRST	Cross the Threshold	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_vmp_man_dilemma_ossified_portalSECOND	The Time Is Not Right	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_vmp_man_dilemma_ossified_portalTHIRD	I Care Not	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_brt_alb_dilemma_mananns_favourFIRST	Alberic offers his trident up to his god, vowing that he will continue to hunt Manann's enemies wherever the storms rage the hardest.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_brt_alb_dilemma_mananns_favourSECOND	Falling to one knee, Alberic humbles himself before his god and prays for the safe passage of Bretonnia's fleets.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_chs_arc_dilemma_slayer_kingsFIRST	“You are free, daemon. Free to serve as my pack mule. Now go, search the corpses of the slain. Bring back anything of value you find.”	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_chs_arc_dilemma_slayer_kingsSECOND	“I said I would set you free, mighty daemon. I never said when.”	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_cth_miao_dilemma_sister_rescuedFIRST	Come sister, you have suffered enough in these foul wastes. Travel with me to the Paradise Gardens. Mother will be overjoyed at your return.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_cth_miao_dilemma_sister_rescuedSECOND	These foul daemons must pay for their transgressions! Fight alongside me, sister. Together, we will push them back to the very polar gates!	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_dwf_gro_dilemma_elvesFIRST	The Grudge is struck. The Witch King's veiled machinations have been laid bare for all to see. Let us reforge the old alliances and stand together as one against the coming darkness.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_dwf_gro_dilemma_elvesSECOND	Malekith proved that the Elgi cannot be trusted. It is in their nature to lie and decieve, and the Dawi would be fools to forget this. The War of Vengeance will begin anew, and this time it will not end until we have their unconditional surrender. Muster the throngs - we march to Ulthuan!	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_ksl_kat_dilemma_call_for_aidFIRST	The knights of fair Bretonnia are far removed from the grim troubles of the north, but they are ever hungry for glory and would surely jump at this chance to prove their valour. 	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_ksl_kat_dilemma_call_for_aidFOURTH	The Elves of distant Ulthuan once came to Kislev's aid in her darkest hour. That time has come again. Though they are enamoured in a civil war that has lasted centuries, they may be willing to fight alongside us once more.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_ksl_kat_dilemma_call_for_aidSECOND	The Slayer King of Karak Kadrin is unlikely to march to our defence while his own hold is under constant assault from Greenskins and Vampires, but his death-seeking Slayers may be lured to our cause if we insist our situation is one of imminent doom.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_ksl_kat_dilemma_call_for_aidTHIRD	We are the shield of the Empire, all that stands between them and the vast legions of Chaos. The squabbling Elector Counts would do well to remember that. It is in their mutual interest to lend us their support.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_skv_mdr_dilemma_ultimate_harvestFIRST	For long years, Throt's every thought, every deed, has been dominated by gnawing hunger. As the Mage-Queen's divine pulp reaches his broiling gut, his mind clears and turns immediately to the next foul experiment. Of the forests and those within, Throt cares not. Let Chaos take them.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_skv_mdr_dilemma_ultimate_harvestSECOND	As the Mage-Queen's divine pulp bubbles merrily in the cauldron, Throt considers whether hoarding the godflesh is in his clan's best interests. Surely other clans would pay a king's ransom to have even a single vial of the precious liquid...	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_vmp_man_dilemma_ossified_portalFIRST	I must return to Castle Drakenhof and study these books further. My sire will surely relinquish his claim once he witnesses my newfound power. If not... then he will suffer the same fate as the Devils of Swartzhafen.	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_vmp_man_dilemma_ossified_portalSECOND	These dunes still hide many treasures. My business is not concluded here.	false
