key	text	tooltip
#Loc;1;text/db/vco_custom_landmarks.loc		
building_culture_variants_name_vco_landmark_fozzriks_flying_fastness	Fozzrik's Flying Fortress	false
building_culture_variants_name_vco_landmark_fozzriks_flying_fastnesswh2_dlc09_skv_clan_rictus	Fozzrik's Flying Fortress	false
building_chains_chain_tooltip_vco_landmark_fozzriks_flying_fastness	Marvel of the Badlands	false
building_short_description_texts_short_description_vco_landmark_fozzriks_flying_fastness	A castle as large as any in Bretonnia and crowned by eight spires swirling with all the Winds of Magic, the Flying Fortress would be a marvel even if it was grounded.	false
building_culture_variants_name_vco_landmark_grombrindal_shattered_malekith_tower	Ruined Black Tower of Malekith	false
building_culture_variants_name_vco_landmark_grombrindal_shattered_malekith_towerwh3_main_dwf_the_ancestral_throng	Ruined Black Tower of Malekith	false
building_chains_chain_tooltip_vco_landmark_grombrindal_shattered_malekith_tower	Legendary Palace	false
building_short_description_texts_short_description_vco_landmark_grombrindal_shattered_malekith_tower	From out of the mountains they came, a throng of vengeful dwarfs with the White Dwarf at their head. With hammer and shield, they brought the elves to ruin.	false
building_culture_variants_name_vco_landmark_grombrindal_vauls_anvil	Vaul's Anvil	false
building_culture_variants_name_vco_landmark_grombrindal_vauls_anvilwh3_main_dwf_the_ancestral_throng	Vaul's Anvil	false
building_chains_chain_tooltip_vco_landmark_grombrindal_vauls_anvil	Arcane Armoury	false
building_short_description_texts_short_description_vco_landmark_grombrindal_vauls_anvil	With the Hammer of Vaul the Runesmiths wrought miracles in stone and steel.	false
building_culture_variants_name_vco_landmark_grombrindal_vauls_anvil_caledor	Vaul's Anvil	false
building_culture_variants_name_vco_landmark_grombrindal_vauls_anvil_caledorwh3_main_dwf_the_ancestral_throng	Vaul's Anvil	false
building_chains_chain_tooltip_vco_landmark_grombrindal_vauls_anvil_caledor	The Volcanic Forge	false
building_short_description_texts_short_description_vco_landmark_grombrindal_vauls_anvil_caledor	Within the Shrine of Vaul the Runesmiths labour, while Slayers journey across the ocean to hunt the last dragons of Ulthuan.	false
building_culture_variants_name_vco_landmark_grombrindal_repurposed_docks	Repurposed Docks	false
building_culture_variants_name_vco_landmark_grombrindal_repurposed_dockswh3_main_dwf_the_ancestral_throng	Repurposed Docks	false
building_chains_chain_tooltip_vco_landmark_grombrindal_repurposed_docks	Reformed City	false
building_short_description_texts_short_description_vco_landmark_grombrindal_repurposed_docks	Slavers Gate, now liberated from the hateful elves, has been repurposed into a bustling port city, a safe harbour for ships bringing in supplies and reinforcements from Barak Varr.	false
building_culture_variants_name_vco_landmark_mazdamundi_geomantic_nexus	Geomantic Nexus	false
building_culture_variants_name_vco_landmark_mazdamundi_geomantic_nexuswh2_main_lzd_hexoatl	Geomantic Nexus	false
building_chains_chain_tooltip_vco_landmark_mazdamundi_geomantic_nexus	Locus of Power	false
building_short_description_texts_short_description_vco_landmark_mazdamundi_geomantic_nexus	Grand edifices built atop the convergences of ley lines amplify the magics of the Slann Mage-Priests manyfold.	false
building_culture_variants_name_vco_landmark_zhao_warpforges	Warpforges	false
building_culture_variants_name_vco_landmark_zhao_warpforgeswh3_main_cth_the_western_provinces	Warpforges	false
building_chains_chain_tooltip_vco_landmark_zhao_warpforges	Warpstone Hoard	false
building_short_description_texts_short_description_vco_landmark_zhao_warpforges	Mixing powdered Warpstone with steel during the forging process creates weapons of wicked cutting prowess.	false
building_culture_variants_name_vco_landmark_zhao_sigmars_rock	Sigmar's Rock	false
building_culture_variants_name_vco_landmark_zhao_sigmars_rockwh3_main_cth_the_western_provinces	Sigmar's Rock	false
building_chains_chain_tooltip_vco_landmark_zhao_sigmars_rock	Warpstone Hoard	false
building_short_description_texts_short_description_vco_landmark_zhao_sigmars_rock	The Order of Merciful Sisters of Sigmar dedicate their lives to recovering Warpstone from across the world and bringing it to Sigmar's Rock for safekeeping. The Iron Dragon thanks them for their service.	false
building_culture_variants_name_vco_landmark_kostaltyn_sacred_flame_ulric	Sacred Flame of Ulric	false
building_culture_variants_name_vco_landmark_kostaltyn_sacred_flame_ulricwh3_main_ksl_the_great_orthodoxy	Sacred Flame of Ulric	false
building_chains_chain_tooltip_vco_landmark_kostaltyn_sacred_flame_ulric	Ulricsberg Landmark	false
building_short_description_texts_short_description_vco_landmark_kostaltyn_sacred_flame_ulric	When Kostaltyn emerged unscathed from the Trial of the Flame, all knew he had the Wolf-God's blessing.	false
building_culture_variants_name_vco_landmark_kostaltyn_great_orthodoxy_cathedral	Great Orthodoxy Cathedral	false
building_culture_variants_name_vco_landmark_kostaltyn_great_orthodoxy_cathedralwh3_main_ksl_the_great_orthodoxy	Great Orthodoxy Cathedral	false
building_chains_chain_tooltip_vco_landmark_kostaltyn_great_orthodoxy_cathedral	Triumph of Faith	false
building_short_description_texts_short_description_vco_landmark_kostaltyn_great_orthodoxy_cathedral	The great domed Cathedral of Sigmar now stands humbly as one among many that dominate Altdorf's skyline, symbolising the triumph of a new faith.	false
building_culture_variants_name_vco_landmark_kostaltyn_dazhs_everburning_pyres	Dazh's Everburning Pyres	false
building_culture_variants_name_vco_landmark_kostaltyn_dazhs_everburning_pyreswh3_main_ksl_the_great_orthodoxy	Dazh's Everburning Pyres	false
building_chains_chain_tooltip_vco_landmark_kostaltyn_dazhs_everburning_pyres	The Cleansing Flames	false
building_short_description_texts_short_description_vco_landmark_kostaltyn_dazhs_everburning_pyres	The charred remains of Sylvania's counts are displayed as a warning to both commoner and noble alike: none may challenge the Great Orthodoxy.	false
building_culture_variants_name_vco_landmark_wulfhart_lumber_yard	Lumber Yard	false
building_culture_variants_name_vco_landmark_wulfhart_lumber_yardwh2_dlc13_emp_the_huntmarshals_expedition	Lumber Yard	false
building_chains_chain_tooltip_vco_landmark_wulfhart_lumber_yard	The Sacred Stumps	false
building_short_description_texts_short_description_vco_landmark_wulfhart_lumber_yard	Vast swathes of deforested fields stand testament to man's triumph over these wild lands.	false
building_culture_variants_name_vco_landmark_wulfhart_imperial_dockyard	Imperial Dockyard	false
building_culture_variants_name_vco_landmark_wulfhart_imperial_dockyardwh2_dlc13_emp_the_huntmarshals_expedition	Imperial Dockyard	false
