key	text	tooltip
#Loc;1;text/db/vco_effects.loc		
effects_description_vco_all_campaign_victory_dummy	Campaign Victory	true
effects_description_vco_all_movement_range_post_raze_port	Campaign movement range: %+n% after razing a port settlement	true
effects_description_vco_brt_alb_dilemma	A dilemma will offer a choice between powerful rewards!	true
effects_description_vco_brt_alberic_vow_melee_attack	Melee attack: %+n for Alberic de Bordeleaux	true
effects_description_vco_brt_alberic_vow_melee_damage	Weapon strength: %+n for Alberic de Bordeleaux	true
effects_description_vco_brt_alberic_vow_melee_damage_ap	Armour-piercing weapon damage: %+n for Alberic de Bordeleaux	true
effects_description_vco_brt_alberic_vow_resistance_physical	Physical resistance: %n% for Alberic de Bordeleaux	true
effects_description_vco_chs_arc_dilemma	A dilemma will offer a choice between powerful rewards!	true
effects_description_vco_cst_zombie_deckhands_missile_strength	Missile strength: %+n% for Zombie Deckhand units	true
effects_description_vco_cth_miao_dilemma	A dilemma will offer a choice between powerful rewards!	true
effects_description_vco_cth_zhao_compass_upgraded	Enables [[col:yellow]]Burning Alignment[[/col]] for Wu Xing War Compass units	true
effects_description_vco_def_morathi_missile_resistance	Missile resistance: %+n% for Morathi	true
effects_description_vco_def_morathi_slaanesh_unlock_dummy	Unlocks new Slaanesh units: Fiends and Keepers of Secrets	true
effects_description_vco_def_morathi_ward_save	Ward save: %+n% for Morathi	true
effects_description_vco_dwf_gro_dilemma_elves	A dilemma will offer a choice between powerful rewards!	true
effects_description_vco_dwf_grombrindal_allegiance_points_mod_wef_hef	Allegiance points gained: %+n% for alliances with High Elves and Wood Elves	true
effects_description_vco_dwf_per_turn_oathgold_gain	Oathgold generated: %n per turn	true
effects_description_vco_grn_black_orcs_frostbite	Enables frostbite attacks for Black Orcs	true
effects_description_vco_grn_per_turn_salvage_gain	Scrap: %+n per turn	true
effects_description_vco_grn_per_turn_waaagh	Reputation: %+n per turn	true
effects_description_vco_hef_tyr_dummy_wef_forcible_vassalisation	Most Wood Elf factions are forcibly vassalised	true
effects_description_vco_hef_tyrion_allegiance_points_mod_wood_elves	Allegiance points gained: %+n% for alliances with Wood Elves	true
effects_description_vco_ksl_drunk_tzars	Enables Liquid Fortification for Tzar Guard units	true
effects_description_vco_ksl_kat_dilemma_call_for_aid	A dilemma will offer a choice between powerful rewards!	true
effects_description_vco_ksl_kat_dilemma_call_for_aid_unlock_artillery	Unlocks new Empire units: Mortars and Great Cannons	true
effects_description_vco_ksl_kat_dilemma_call_for_aid_unlock_slayers	Unlocks new Dwarf units: Slayers and Giant Slayers	true
effects_description_vco_ksl_tgo_luminark_unlock_dummy	Unlocks new unit: Orthodoxy Flagellants	true
effects_description_vco_nor_wul_enable_rampage_ability	Ability: "Hunter of Champions" for Wulfrik the Wanderer	true
effects_description_vco_nor_wul_marauder_melee_poison	Enables poison attacks for all Marauder infantry units	true
effects_description_vco_nor_wul_marauder_spear_hunter_bonus_large	Bonus vs Large: %+n for Marauder Spearmen and Hunters	true
effects_description_vco_nor_wul_marauder_spear_hunter_primal_instincts	Passive ability: "Primal Instincts" for Marauder Spearmen and Hunters	true
effects_description_vco_nor_wul_movement_range_post_raze_port	Campaign movement range: %+n% after razing a port settlement	true
effects_description_vco_nor_wul_units_unlock_dummy	Unlocks new Daemonic units after pledging to a Chaos God	true
effects_description_vco_ogr_greasus_armour	Armour: %+n for Greasus Goldtooth	true
effects_description_vco_ogr_greasus_charge_bonus	Charge Bonus: %+n for Greasus Goldtooth	true
effects_description_vco_ogr_greasus_speed	Speed: %+n% for Greasus Goldtooth	true
effects_description_vco_ogr_greasus_ward_save	Ward save: %+n% for Greasus Goldtooth	true
effects_description_vco_skv_clan_moulder_strength	Weapon strength: %+n% for all Clan Moulder units	true
effects_description_vco_skv_clans_impressed	News of the swift Cathayan demise has reached the Clans, and try as they might they cannot hide how impressed they are!	true
effects_description_vco_skv_food	Food generated: %n	true
effects_description_vco_skv_melee_attack_vs_vampires	Melee Attack: %+n against Vampires	true
effects_description_vco_skv_melee_defence_vs_vampires	Melee Defence: %+n against Vampires	true
effects_description_vco_skv_per_turn_growth_vat	Growth Juice: %+n per turn	true
effects_description_vco_skv_per_turn_mutagen	Mutagen: %+n per turn	true
effects_description_vco_skv_snikch_melee_damage_ap	Armour-piercing weapon damage: %+n for Deathmaster Snikch	true
effects_description_vco_skv_ultimate_harvest_dilemma_dummy_text	A dilemma will offer a choice between powerful rewards!	true
effects_description_vco_sla_devotees	Devotees: %+n per turn	true
effects_description_vco_sla_nkari_weapon_strength	Weapon strength: %+n% for N'Kari	true
effects_description_vco_tmb_arkhan_allegiance_points_mod_vampire_coast	Allegiance points gained: %+n% for alliances with Vampire Coast	true
effects_description_vco_vmp_kem_melee_defence	Melee defence: %+n for Heinrich Kemmler	true
effects_description_vco_vmp_kem_missile_resistance	Missile resistance: %+n% for Heinrich Kemmler	true
effects_description_vco_vmp_man_dilemma_soulgate	A portal to Sylvania will become available to Mannfred's army.	true
effects_description_vco_vmp_man_ward_save	Ward save: %+n% for Mannfred von Carstein	true
effects_description_vco_vmp_man_weapon_strength	Weapon strength: %+n% for Mannfred von Carstein	true
effects_description_vco_chs_aza_dilemma	A dilemma will offer a choice between powerful rewards!	true
effects_description_vco_chs_fes_dilemma	A dilemma will offer a choice between powerful rewards!	true
effects_description_vco_chs_vil_dilemma	A dilemma will offer a choice between powerful rewards!	true
effects_description_vco_chs_val_dilemma	A dilemma will offer a choice between powerful rewards!	true
effects_description_vco_vmp_hel_dilemma	A dilemma will offer a choice between powerful rewards!	true
effects_description_vco_lzd_nak_dilemma	A dilemma will offer a choice between powerful rewards!	true
effects_description_vco_archaon_vilitch_dummy_mind	Archaon the Everslave will become available for recruitment.	true
effects_description_vco_archaon_vilitch_dummy_body	Archaon the Everslave will become available for recruitment.	true
effects_description_vco_vil_arch_rampage	Passive ability: "Berserker" for Archaon the Everslave	true
effects_description_vco_vil_arch_weapon_strength	Weapon strength: %+n% for Archaon the Everslave	true
