key	text	tooltip
#Loc;1;text/db/vco_unit_abilities.loc		
unit_abilities_onscreen_name_vco_lord_abilities_hunter_of_champions	Hunter of Champions	false
unit_abilities_tooltip_text_vco_lord_abilities_hunter_of_champions	Face me if you dare, stunted whelp, or do you lack even an Elven maid's courage? I thought the Sons of Grungni were great warriors, but perhaps you are no true Dwarf. Indeed, maybe you are instead some breed of bearded Goblin, though in truth I have seen a finer beard on a Troll's backside.\\n\\n-Wulfrik the Wanderer, to the Dwarf King Thurbad Stonebeard, in perfect Khazalid	false
unit_abilities_onscreen_name_vco_wh3_main_army_abilities_storm_of_fire	Storm of Fire	false
unit_abilities_tooltip_text_vco_wh3_main_army_abilities_storm_of_fire	With the power of the Corrupted Wei-Jin Compass, flames rain from the sky, turning anything they touch into a pile of ash.	false
unit_abilities_onscreen_name_vco_wh3_main_army_abilities_fozzriks_flensing_discharge	Fozzrik's Flensing Discharge	false
unit_abilities_tooltip_text_vco_wh3_main_army_abilities_fozzriks_flensing_discharge	A surge of crackling energy and shimmering light streams forth from Fozzrik's Fortress and tears through the battlefield.	false
unit_abilities_onscreen_name_vco_wh3_main_army_abilities_fozzriks_verdant_burst	Fozzrik's Verdant Burst	false
unit_abilities_tooltip_text_vco_wh3_main_army_abilities_fozzriks_verdant_burst	Fozzrik's Fortress unfolds like a giant flower, bathing the fighters below in an outpouring of life magic.	false
unit_abilities_onscreen_name_vco_lord_abilities_lustrian_concoction	Lustrian Concoction	false
unit_abilities_tooltip_text_vco_lord_abilities_lustrian_concoction	A potent mixture of extracted Itxi grub humours, crushed Jungle Lotus leaves and Coatl feathers grants the imbiber renewed vitality and an unparalleled mastery of the Winds of Magic... at least until the effects wear off.	false
unit_abilities_onscreen_name_vco_lord_abilities_cathayan_concoction	Cathayan Concoction	false
unit_abilities_tooltip_text_vco_lord_abilities_cathayan_concoction	A potent mixture of powdered Ki-rin horn, crushed Jade Lion teeth and Onyx Crowmen feathers grants the imbiber renewed vitality and an unparalleled mastery of the Winds of Magic... at least until the effects wear off.	false
unit_abilities_onscreen_name_vco_unit_passive_everqueens_touch	Touch of the Everqueen	false
unit_abilities_tooltip_text_vco_unit_passive_everqueens_touch	Alarielle's touch, so soothing to the pure-hearted, is anathema to those with even a taint of corruption in their hearts.	false
unit_abilities_onscreen_name_vco_lord_passive_withering_idol	Withering Pulse	false
unit_abilities_tooltip_text_vco_lord_passive_withering_idol	With a blast of verdant light, flesh calcifies and crumbles, reducing the foe to naught but ash in the wind in a matter of seconds.	false
