key	text	tooltip
#Loc;1;text/db/vco_victory_types.loc		
victory_types_display_name_vco_type_mp_coop	Co-Operative Victory	true
victory_types_display_name_vco_type_mp_versus	Head to Head Victory	true
victory_types_display_name_vco_victory_type_alternative_1	Route I	true
victory_types_display_name_vco_victory_type_alternative_1_commerce	Route I - Commerce	true
victory_types_display_name_vco_victory_type_alternative_1_conquest	Route I - Conquest	true
victory_types_display_name_vco_victory_type_alternative_1_corruption	Route I - Corruption	true
victory_types_display_name_vco_victory_type_alternative_1_destruction	Route I - Destruction	true
victory_types_display_name_vco_victory_type_alternative_1_economy	Route I - Economy	true
victory_types_display_name_vco_victory_type_alternative_1_edification	Route I - Edification	true
victory_types_display_name_vco_victory_type_alternative_1_expansion	Route I - Expansion	true
victory_types_display_name_vco_victory_type_alternative_1_final_battle	Route I - Final Battle	true
victory_types_display_name_vco_victory_type_alternative_1_magic_supremacy	Route I - Magic Supremacy	true
victory_types_display_name_vco_victory_type_alternative_1_miscelany	Route I - Miscellany	true
victory_types_display_name_vco_victory_type_alternative_1_naval_supremacy	Route I - Naval Supremacy	true
victory_types_display_name_vco_victory_type_alternative_1_threat_elimination	Route I - Threat Elimination	true
victory_types_display_name_vco_victory_type_alternative_1_unification	Route I - Unification	true
victory_types_display_name_vco_victory_type_alternative_2	Route II	true
victory_types_display_name_vco_victory_type_alternative_2_commerce	Route II - Commerce	true
victory_types_display_name_vco_victory_type_alternative_2_conquest	Route II - Conquest	true
victory_types_display_name_vco_victory_type_alternative_2_corruption	Route II - Corruption	true
victory_types_display_name_vco_victory_type_alternative_2_destruction	Route II - Destruction	true
victory_types_display_name_vco_victory_type_alternative_2_economy	Route II - Economy	true
victory_types_display_name_vco_victory_type_alternative_2_edification	Route II - Edification	true
victory_types_display_name_vco_victory_type_alternative_2_expansion	Route II - Expansion	true
victory_types_display_name_vco_victory_type_alternative_2_final_battle	Route II - Final Battle	true
victory_types_display_name_vco_victory_type_alternative_2_magic_supremacy	Route II - Magic Supremacy	true
victory_types_display_name_vco_victory_type_alternative_2_miscelany	Route II - Miscellany	true
victory_types_display_name_vco_victory_type_alternative_2_naval_supremacy	Route II - Naval Supremacy	true
victory_types_display_name_vco_victory_type_alternative_2_threat_elimination	Route II - Threat Elimination	true
victory_types_display_name_vco_victory_type_alternative_2_unification	Route II - Unification	true
victory_types_display_name_vco_victory_type_alternative_3	Route III	true
victory_types_display_name_vco_victory_type_alternative_3_commerce	Route III - Commerce	true
victory_types_display_name_vco_victory_type_alternative_3_conquest	Route III - Conquest	true
victory_types_display_name_vco_victory_type_alternative_3_corruption	Route III - Corruption	true
victory_types_display_name_vco_victory_type_alternative_3_destruction	Route III - Destruction	true
victory_types_display_name_vco_victory_type_alternative_3_economy	Route III - Economy	true
victory_types_display_name_vco_victory_type_alternative_3_edification	Route III - Edification	true
victory_types_display_name_vco_victory_type_alternative_3_expansion	Route III - Expansion	true
victory_types_display_name_vco_victory_type_alternative_3_final_battle	Route III - Final Battle	true
victory_types_display_name_vco_victory_type_alternative_3_magic_supremacy	Route III - Magic Supremacy	true
victory_types_display_name_vco_victory_type_alternative_3_miscelany	Route III - Miscellany	true
victory_types_display_name_vco_victory_type_alternative_3_naval_supremacy	Route III - Naval Supremacy	true
victory_types_display_name_vco_victory_type_alternative_3_threat_elimination	Route III - Threat Elimination	true
victory_types_display_name_vco_victory_type_alternative_3_unification	Route III - Unification	true
victory_types_display_name_vco_victory_type_brt_bdx_1_alberic_grail_quest	Route I - Alberic's Grail Quest	true
victory_types_display_name_vco_victory_type_brt_bdx_2_no_ocean_for_dead_men	Route II - No Ocean for Dead Men	true
